timestamps,ax_filtered3,ay_filtered3,az_filtered3
1,-0.33860459111840135,0.024185971461319587,49.89578691983291
5472,-1.0706397767087914,-0.16538616392002747,257.7030511871427
10539,-1.1050895488516546,-1.2006239382802768,615.3299961219147
15560,-0.7064948422345909,-3.138918021445289,945.2598326495921
20546,-1.9890687182214366,-5.0111234039662405,1109.415180851189
25565,-4.825644884443734,-5.520611099657288,1119.950139443127
30556,-6.956328668715181,-3.698064557526657,1063.931822583154
35544,-7.949019946153046,-1.0242250910662953,1013.4001059549485
40528,-9.026195054561159,-0.8281126204295435,993.6721100889439
45548,-9.396732198206386,-3.443496947444606,998.1514602361731
50541,-7.158555484961388,-6.177931258140496,1011.0675921182938
55526,-3.1666392792835905,-6.322828232965337,1021.2073882319421
60518,0.12899657667673453,-3.448941861906756,1025.0041643355232
65516,1.1498378778195377,0.0013942638671780583,1023.219260964529
70511,-0.35092744929123376,2.5466583565069496,1018.4003485250184
75503,-2.3511299367548526,4.054998920945539,1013.7924557333056
80492,-2.3050054206697776,3.2780433652174117,1011.4495167466047
85518,-0.5582261100828296,-0.3312357545706843,1011.5120451442476
90513,0.8493186663871092,-4.429435928599624,1012.0725532040166
95510,0.9126747548282664,-5.964064102724502,1011.390092979017
100507,-0.5265957661904822,-6.021118418420469,1011.086359935274
105501,-3.2583979041389783,-7.784899705141059,1012.8818953451803
110493,-6.123543318610328,-9.981787884615809,1015.3273842386081
115484,-7.21761088249217,-9.331505619703632,1017.0467103149364
120472,-6.097233467025609,-5.959772771169237,1018.0735812731531
125464,-3.533861704133813,-2.2410244957275864,1018.4796202072082
130465,0.8359852512559507,-0.22546711943545256,1018.6187334608992
135465,5.638188845383261,-0.8052359269755844,1018.1313479206015
140466,6.81271433165356,-3.481849062910612,1015.9278886610709
145467,2.7285172906029307,-6.5153517265394845,1012.8553097371747
150468,-4.059337577724971,-8.523178863590271,1011.5980766864355
155470,-9.063023179879826,-9.69416262453631,1013.5199703793671
160466,-8.563021931145652,-10.075314662223759,1016.9544996181153
165506,-2.314888962279539,-8.988217290383355,1018.5879016569523
170507,5.020196651831713,-6.605343312072208,1017.2235632458472
175499,7.231872260810439,-4.186171963651014,1014.8054036930346
180491,3.0180751036932527,-3.319226889510753,1013.5088274454369
185489,-2.285787317013645,-4.658872016675185,1013.9326088996542
190487,-2.9618915890397757,-6.461318596138179,1014.8249192298708
195485,0.13717005904625723,-6.29456294671141,1015.3397916056756
200484,2.147654954746624,-3.8942146277491507,1016.1977396063398
205473,0.4439956515787946,-1.179335568622876,1017.3219995784233
210462,-3.741255524291173,-0.5431001217232967,1018.2956324510969
215455,-7.189927616246465,-2.3300141688182596,1019.0771035779802
220451,-8.107840100008866,-4.958760430800641,1018.8335580761491
225447,-6.55272691242666,-7.141443107122583,1017.4394529076795
230446,-2.889070757237447,-8.142622404172753,1015.6130480208421
235446,2.239071307074979,-7.302515469538505,1013.387583743963
240449,7.095576202278764,-4.285656238722559,1011.8324254564792
245447,9.04541412455846,-0.6322083920671133,1011.8789260145697
250444,6.605947968952181,0.9033883090744285,1012.2491386765209
255445,1.9226223514385072,-0.5761027758424127,1012.3843209423038
260448,-0.5852327264384216,-3.6828585112119674,1012.7738721481509
265447,-0.6000758642030067,-6.17239576770894,1013.5945828699828
270447,-2.0325267986947617,-6.792306481650012,1015.2147674486893
275447,-6.087885011523513,-5.67591351889832,1017.9583894776355
280447,-10.45804128675601,-2.548901639700726,1021.0750137017011
285446,-12.064330916566611,1.4797563206975015,1022.4779763750425
290450,-9.271256368863357,2.421090491564452,1021.494751112748
295448,-4.155668637833212,-0.16413591044873166,1019.5634317889874
300448,-0.28013847550491755,-1.6476121590261945,1017.9308933901942
305447,0.5638087199057972,-0.6201151309991297,1017.1459118969483
