,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
90596,107,93,74,-13.67187,3.90625,1016.11328,-2.70992,0.56489,-2.46565,-45.45000,-20.10000,10.65000,24.90234,419.92187,918.94531,0.80153,2.08397,-0.83206,15.15000,-76.50000,56.55000,-20.50781,-199.70703,1017.57812,-0.38168,0.56489,1.06107,-19.95000,43.20000,18.90000,
95589,107,93,76,-8.78906,-2.92969,1017.08984,1.87023,-1.48092,3.63359,-46.05000,-21.15000,10.95000,41.01563,417.96875,920.89844,-0.60305,2.16031,-1.42748,15.15000,-76.50000,56.55000,-2.92969,-197.75391,1010.74219,0.51145,0.67176,0.22901,-20.55000,42.00000,19.05000,
100587,108,93,75,-11.71875,5.37109,1003.90625,1.84733,1.34351,-0.06107,-46.05000,-21.15000,10.95000,20.50781,421.38672,913.08594,0.83206,3.89313,-0.87023,15.45000,-76.50000,57.30000,7.32422,-197.75391,1003.90625,0.14504,1.77863,-3.67176,-20.55000,42.00000,19.05000,
105585,117,91,79,-0.48828,9.27734,1023.43750,-1.12977,2.79389,-2.58015,-46.05000,-21.15000,10.95000,23.43750,405.27344,913.08594,1.98473,-1.73282,1.00000,15.45000,-76.50000,57.30000,-12.20703,-197.26562,990.23437,-0.35878,1.12977,-0.48855,-21.15000,43.65000,18.15000,
110583,108,93,75,-14.64844,-4.39453,1011.71875,-0.51145,1.80916,-1.67176,-46.05000,-21.15000,10.95000,40.52734,424.31641,911.13281,-0.53435,1.20611,0.31298,15.30000,-75.60000,54.60000,-27.34375,-197.26562,994.62891,1.50382,0.20611,-0.49618,-21.15000,43.65000,18.15000,
115581,107,91,75,-10.25391,-5.85937,1025.39063,0.05344,-2.42748,2.82443,-45.75000,-22.35000,9.90000,29.78516,434.57031,925.29297,1.30534,1.73282,0.60305,15.30000,-75.60000,54.60000,-20.99609,-191.40625,1001.95312,0.98473,-0.15267,0.38931,-20.70000,42.90000,19.20000,
120580,105,89,74,-11.71875,5.37109,1014.64844,1.89313,-1.08397,1.72519,-45.75000,-22.35000,9.90000,33.69141,413.08594,915.52734,-0.58779,1.18321,0.16794,15.30000,-75.60000,54.60000,-17.08984,-190.91797,1009.76562,0.53435,-0.27481,0.44275,-20.70000,42.90000,19.20000,
125579,107,92,73,-2.92969,2.44141,1021.97266,-1.32061,1.62595,0.65649,-46.95000,-20.25000,10.05000,32.71484,422.36328,912.59766,1.37405,1.21374,1.90840,15.30000,-75.60000,54.60000,-2.92969,-185.05859,1000.97656,-0.94656,2.53435,-0.63359,-22.05000,44.25000,20.10000,
130580,106,89,71,-2.44141,-10.74219,1023.43750,-2.15267,1.35878,0.32061,-46.95000,-20.25000,10.05000,32.71484,416.01562,918.94531,1.83206,-0.44275,-1.15267,16.05000,-75.60000,56.10000,-16.60156,-191.89453,993.65234,-1.17557,0.40458,-0.77099,-22.05000,44.25000,20.10000,
135580,111,90,83,-7.32422,5.37109,1005.37109,1.19084,-2.64122,1.78626,-46.05000,-21.90000,10.20000,29.29688,427.24609,917.96875,2.03053,-0.69466,3.95420,14.85000,-75.60000,56.10000,-18.55469,-193.35937,1002.92969,-1.06870,1.38168,-1.55725,-22.05000,44.25000,20.10000,
140580,115,99,82,-11.23047,11.23047,1020.99609,1.83969,-1.47328,0.25954,-46.05000,-21.90000,10.20000,41.01563,426.26953,923.33984,0.88550,1.98473,2.92366,14.85000,-74.85000,56.10000,0.97656,-189.94141,1002.92969,-0.74809,0.35878,-0.83969,-22.05000,44.25000,20.10000,
145581,103,89,82,-14.16016,6.83594,1027.34375,-0.78626,3.19847,-2.90076,-46.65000,-21.45000,10.35000,35.64453,416.50391,925.29297,0.60305,-0.43511,-0.93893,13.80000,-75.15000,56.40000,-10.25391,-187.01172,1008.30078,0.29008,-0.45802,2.61832,-20.85000,43.80000,18.75000,
150580,105,89,75,7.32422,5.85937,1015.13672,-1.52672,1.66412,-3.46565,-46.65000,-21.45000,10.35000,38.08594,419.43359,917.48047,0.25954,-0.81679,0.96947,13.80000,-75.15000,56.40000,-14.64844,-190.91797,1002.44141,-0.61832,0.77863,-0.31298,-20.85000,43.80000,18.75000,
155582,106,92,75,-26.36719,-2.92969,1021.48437,1.21374,-1.16031,1.76336,-46.65000,-21.45000,10.35000,34.17969,416.01562,903.32031,0.10687,-1.09924,0.79389,13.80000,-75.15000,56.40000,-9.27734,-199.21875,1004.88281,-0.58015,1.00763,0.06870,-20.85000,43.80000,18.75000,
160587,108,91,75,-5.37109,20.50781,1015.62500,2.05344,0.02290,-0.11450,-46.65000,-21.45000,10.35000,32.71484,417.48047,903.32031,0.83206,1.50382,-0.67176,16.20000,-75.75000,57.30000,-10.74219,-199.21875,1005.85937,-0.78626,1.84733,-0.72519,-20.85000,43.80000,18.75000,
