,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
6,103,110,139,
516,105,109,148,
731,106,102,152,
945,118,61,151,
1151,105,103,151,
1365,109,108,149,
1564,98,101,156,
1762,147,103,147,
1961,126,105,150,
2185,109,58,150,
2383,141,109,135,
2582,140,119,154,
2782,94,103,149,
2981,123,107,149,
3186,125,103,155,
3384,117,116,141,
3583,105,103,148,
3802,111,105,151,
4001,98,103,154,
4206,100,104,155,
4405,124,108,139,
4604,122,104,143,
4803,125,105,148,
5001,104,103,154,
5207,115,103,148,
5405,94,101,149,
5604,97,103,143,
5802,88,104,158,
6001,102,109,149,
6206,105,103,151,
6405,103,108,148,
6604,117,103,149,
6803,101,108,148,
7027,106,105,145,
7232,106,108,150,
7431,121,107,149,
7629,96,104,150,
7828,120,123,149,
8026,89,107,148,
8231,104,108,149,
8430,103,109,150,
8629,91,106,139,
8828,98,102,152,
9026,119,108,144,
9231,99,104,153,
9430,99,110,147,
9628,119,106,79,
9827,119,106,149,
10026,105,105,245,
10232,120,109,147,
10430,103,107,149,
10629,126,104,135,
10828,121,110,147,
11026,112,104,147,
11232,127,105,142,
11430,125,104,125,
11629,115,101,143,
11828,111,105,148,
12027,119,107,151,
12232,112,103,141,
12430,124,105,148,
12629,93,103,138,
12828,100,101,149,
13027,103,105,147,
13232,125,105,147,
13470,100,110,92,
13669,119,104,143,
13867,122,107,149,
14066,117,104,147,
14272,101,103,152,
14471,109,103,149,
14670,91,110,158,
14868,100,102,148,
15067,109,101,147,
15273,132,104,151,
15471,127,101,147,
15672,101,107,145,
15871,102,108,151,
16070,118,106,148,
16276,127,104,128,
16474,123,101,141,
16673,116,103,143,
16872,112,104,152,
17070,115,102,92,
17276,117,100,149,
17475,95,104,149,
17674,106,102,151,
17872,100,101,149,
18071,107,105,147,
18277,125,106,181,
18476,125,103,147,
18675,123,103,151,
18873,121,101,147,
19072,109,104,149,
19278,117,102,151,
19476,164,103,141,
19675,128,102,141,
19874,123,105,152,
20072,99,99,151,
20278,105,107,156,
20476,95,102,149,
20675,92,102,151,
20874,103,99,152,
21072,117,101,146,
21278,102,101,149,
21476,108,104,151,
21675,120,111,148,
21873,126,104,149,
22072,115,99,150,
22277,131,99,41,
22476,117,99,149,
22675,133,101,149,
22874,126,107,152,
23072,108,99,147,
23278,136,103,214,
23476,107,99,152,
23675,135,100,148,
23874,119,101,152,
24072,107,134,149,
24278,104,99,147,
24476,99,100,144,
24675,96,104,155,
24873,112,102,143,
25072,119,104,147,
25278,118,101,147,
25476,117,99,143,
25675,120,103,151,
25874,125,105,153,
26072,101,97,149,
26340,105,104,148,
26539,100,105,146,
26739,121,105,147,
26937,127,108,152,
27143,107,103,151,
27342,94,101,147,
27540,95,97,156,
27739,101,101,148,
27938,95,99,152,
28144,125,100,149,
28342,97,99,149,
28541,95,103,149,
28740,99,100,153,
28938,107,100,148,
29144,93,97,147,
