Timestamp (uS),IMU1_X,IMU1_Y,IMU1_Z
5,0.0,0.0,0.0
515,-0.0004766088879450001,2.4189699105000004e-05,-0.00013843212768000003
731,-0.0014317426745550001,7.256909731500001e-05,-0.00041098534911
945,-0.0024007675781250004,0.00011615844910500002,-0.00068784960447
1144,-0.0033530273388450004,0.00016405884463500004,-0.0009656718651900001
1365,-0.004312951162065001,0.00021100122499500006,-0.0012339140526900002
1564,-0.005257067857605001,0.0002512375580250001,-0.0015031142455500003
1762,-0.006218907701355001,0.0002751877508850001,-0.0017732724437700003
1961,-0.007184579576355001,0.00030536499820500013,-0.0020319345482400003
2178,-0.008134444323675001,0.0003321892169550001,-0.0023025717589500003
2384,-0.009089099107605001,0.00035182837588500015,-0.00256410788931
2583,-0.010039921860285001,0.00037003052677500017,-0.00280600486074
2782,-0.011002719709395002,0.00039877076605500015,-0.00306035593128
2980,-0.011956895490645002,0.00042319996159500016,-0.00331758102771
3179,-0.012911550274575002,0.00044571314641500017,-0.00356905808217
3384,-0.013851834938865002,0.00048259645087500016,-0.00382149314199
3583,-0.014817506813865,0.0005089416669450002,-0.00407440720449
3803,-0.015781741680825002,0.0005357658856950002,-0.00432109421253
4002,-0.016764657691545004,0.0005664221356950002,-0.00457017624378
4201,-0.017726018532615004,0.0006033054401550002,-0.00481925827503
4406,-0.018681631321905003,0.0006291716535450002,-0.00505971823842
4605,-0.019636286105835003,0.0006569538776550003,-0.0052949091527100004
4804,-0.020581360816545,0.0006813830731950002,-0.005519082975930001
5003,-0.021507754373685004,0.0007125183258750003,-0.005741819791110001
5202,-0.022438458964755003,0.0007350315106950002,-0.005960724575040001
5407,-0.023380180646895003,0.0007632927374850002,-0.0061839403929000005
5606,-0.024321423326355004,0.0007934699848050002,-0.0063913490830800005
5804,-0.025268414047785005,0.0008303532892650002,-0.00661935493755
6003,-0.026220673808505006,0.0008590935285450002,-0.00683203266702
6202,-0.027166706524575007,0.0008739426508650002,-0.00705141645363
6408,-0.028113697246005008,0.0008993298615750002,-0.00725259808935
6606,-0.02906595700672501,0.0009247170722850002,-0.00746144378757
6805,-0.02999474557726501,0.0009596843562150001,-0.007673163511680001
7030,-0.03091682810047501,0.000998004668715,-0.007875303162570001
