Timestamp (uS),IMU1_X,IMU1_Y,IMU1_Z
5,0.0,0.0,0.0
516,-0.00040499780089500004,5.2450925895e-05,-0.00025650659241
730,-0.001219304436615,0.00014920971250500001,-0.0007680827593800001
944,-0.002045586178575,0.00024548949643500004,-0.00128253295224
1150,-0.0028642038580350003,0.000336500241075,-0.00178979808528
1364,-0.0036914436053550005,0.000424157957145,-0.0022898781585
1563,-0.004507666261605,0.000530975829465,-0.00278421018975
1761,-0.005331552980355,0.000635877681255,-0.00327950022636
1959,-0.006147775636605,0.000740300530365,-0.0037929924138600003
2183,-0.006968309326785,0.000855740470545,-0.004302652570110001
2381,-0.007778304928575,0.000971659413405,-0.004819976788860001
2580,-0.008607939689295,0.001093326408045,-0.005348797101360001
2779,-0.009437574450015,0.001212598379475,-0.005879054421900001
2978,-0.010259066145555,0.001323727285725,-0.006418412822790001
3183,-0.011081994858945,0.001448268306255,-0.006951544169220001
3381,-0.011906839583054999,0.001551733150005,-0.007480364481720001
3580,-0.012725936265195,0.001661904050895,-0.008028344950470001
3799,-0.013544553944655001,0.001771595949105,-0.008567703351360001
4005,-0.014362692611625,0.001871707764285,-0.009097960671900001
4203,-0.015188495341095001,0.001994332764285,-0.009628217992440001
4402,-0.016007592023235002,0.002112167727675,-0.010170929421900001
4601,-0.016822856674125003,0.002230960696425,-0.010705018773690001
4799,-0.017642432358945002,0.002342568605355,-0.011248209205830001
5005,-0.018463924054485003,0.0024565715374949997,-0.011796668677260001
5203,-0.019286373765195004,0.0025681794464249997,-0.01234033811208
5402,-0.020093974353585002,0.002695115480355,-0.012904125708510001
5601,-0.020914508043765004,0.002811034423215,-0.013450190156730001
5799,-0.021741268788405006,0.002931743412495,-0.014012061742440001
6004,-0.022558449450015006,0.0030553264178550003,-0.014554773171900001
6203,-0.023380420148235007,0.0031688503473150005,-0.015116165745120001
6401,-0.024199995833055005,0.0032909963446350007,-0.015663188208510002
6600,-0.025036336650915005,0.003417932378565001,-0.01621404270315
6799,-0.025867887432165004,0.0035352883392750006,-0.01676585520315
7030,-0.026688900125025006,0.0036473752508850007,-0.01731862570851
7228,-0.027511349835735006,0.003765689216955001,-0.01786325314869
7427,-0.028342421614305006,0.003877297125885001,-0.01840644358083
7626,-0.029155770244665005,0.003991779060705001,-0.0189486759978
7825,-0.029980135966095004,0.004095722907135001,-0.019488513401370002
8030,-0.030797795630385004,0.004215952883925001,-0.020031703833510002
8229,-0.03160300119556501,0.004321812750885001,-0.020584474338870003
8427,-0.03242545090627501,0.004431504649095001,-0.021141076875480003
8626,-0.03325843869556501,0.004555087654455001,-0.02169288937548
8825,-0.03408615744556501,0.004665737558025001,-0.02223033175584
9030,-0.034928246315205004,0.004790757581235001,-0.0227754381987
9228,-0.03575979709645501,0.004929668711595001,-0.02332198165941
9427,-0.036585599825925005,0.0050657058160650005,-0.0238536759978
9626,-0.03741619260181501,0.005181624758925,-0.02440740450852
9825,-0.038232894260745005,0.005316703858035001,-0.02493766182906
10031,-0.039056780979495005,0.005456093991075,-0.025453549039770002
10229,-0.03988737375538501,0.005571533931255,-0.02596129317549
10428,-0.04070551242235501,0.005698469965185,-0.02646137324871
10627,-0.041535626195565015,0.0058052878375049995,-0.02696672237103
10826,-0.04235568088306502,0.005912584712505,-0.027463449425490002
11031,-0.04316663450002502,0.006028503655364999,-0.027967361529960003
11230,-0.04398716819020502,0.006136279533044999,-0.028457861529960004
11429,-0.04480818088306502,0.006242618402684999,-0.028941176470140002
11628,-0.04561626047413502,0.006350873283044999,-0.029439340532640003
11826,-0.04644014719288502,0.006450985098224999,-0.029942773634430004
12032,-0.04724487375538502,0.006560676996434998,-0.030428962600500004
12230,-0.04804433127859502,0.006652166743754999,-0.030925210642470006
12429,-0.048848099835735015,0.006738866454464999,-0.03142768573890001
12628,-0.04966815452323502,0.0068270031732149995,-0.03193351386390001
12827,-0.050492999247345016,0.006919929928575,-0.03243838398354001
13032,-0.051294372781275015,0.007006629639285,-0.03294660713175001
13231,-0.05210915842948501,0.0070842282696450005,-0.03346872138711001
13468,-0.05292538108573501,0.007170927980355001,-0.03400328974158001
13667,-0.05373633470269501,0.007261459722315001,-0.03451726093176001
13866,-0.05455543138483501,0.007341453375885001,-0.035035543155870014
14071,-0.05536973802055501,0.007428632089275001,-0.035555262397830016
14270,-0.05619841477591501,0.0075100627508850005,-0.03607306561926002
14468,-0.05702325950002501,0.007602989506245001,-0.03660667596837002
14667,-0.05784331418752501,0.007699269290175001,-0.03713597528355002
14866,-0.058648040750025006,0.007791238040175001,-0.03765904754427002
15072,-0.05945659934377501,0.007876021730355,-0.038188346859450016
