Timestamp (uS),IMU1_X,IMU1_Y,IMU1_Z
22312,-0.05623194499294501,-0.007361811082980001,-0.08899892571257999
22511,-0.05675837028223501,-0.0074418047365500005,-0.08981323234829999
22710,-0.057287669597415006,-0.007511260301730001,-0.09061795891079999
22909,-0.057812657878665005,-0.007579757861550001,-0.09142412248133999
23115,-0.058327108071525004,-0.007631490288330001,-0.09223363908044999
23314,-0.058831020175995,-0.0076913657802900005,-0.09304555070276999
23513,-0.059351218420635,-0.007732081116,-0.09385506730187998
23712,-0.059863273600095,-0.007778544493680001,-0.09466027286705998
23911,-0.060390656904555,-0.00781399078029,-0.09547410050009998
24117,-0.060902233071525,-0.007841294001720001,-0.09629750821616997
24316,-0.061429616375985,-0.00787674028833,-0.09712714297688997
24515,-0.061980470870625,-0.00791506060083,-0.09796731582599998
24714,-0.062536594404555,-0.00795242290797,-0.09880221963581998
24913,-0.063083616867945,-0.00799553325708,-0.09963424941974998
25119,-0.063632555342055,-0.008047744686540001,-0.10046484219563998
25318,-0.064179577805445,-0.008094687066900001,-0.10128824991170997
25517,-0.06470408708401501,-0.00813923443386,-0.10212075869831996
25716,-0.06523290739651501,-0.008178512751720001,-0.10295278848224997
25915,-0.065778492842055,-0.008212522030290001,-0.10380206241170997
26121,-0.066325036302765,-0.00824461528833,-0.10464654629474997
26382,-0.066875890797405,-0.00827383453029,-0.10549007217242996
26581,-0.067428182300085,-0.00830736480618,-0.10632593398760996
26780,-0.067970893729545,-0.00834185308743,-0.10715173671707996
26979,-0.068507857107225,-0.00837873639189,-0.10798089247511997
27185,-0.069036198417045,-0.00839741754546,-0.10880956923047996
27384,-0.069564060724185,-0.008428073795460001,-0.10964207801708996
27583,-0.070076115903645,-0.008458251042780002,-0.11045877967601996
27782,-0.070579070002755,-0.008469268133850003,-0.11125967420726995
27981,-0.071081545099185,-0.008490344310630003,-0.11205482068673996
28187,-0.071573482107225,-0.008503277412420003,-0.11285523621530996
28386,-0.072063024101865,-0.008520521557950004,-0.11366139978584996
28585,-0.07256549919829501,-0.008520521557950004,-0.11448289148138996
28784,-0.07305935222686501,-0.008537765703480004,-0.11531492126531996
28983,-0.07357188640900501,-0.008547345776700004,-0.11614647204656996
29189,-0.07409831169829502,-0.008583271065990005,-0.11697466979924996
29388,-0.07461324089383502,-0.008609616282060004,-0.11780574157781996
29587,-0.07512002702419501,-0.008653205633850004,-0.11863681335638997
29786,-0.07564788933133501,-0.008691046943670004,-0.11948417126531996
29985,-0.07617479362330501,-0.008732241282060004,-0.12032482311710996
