timestamps,x,y,z
1,0.4006551845295118,-0.2289458197311496,1.741844444285269
5474,3.2804046613697175,-1.874516949354124,14.261526756790186
10540,12.215129133292804,-6.965709429176461,53.001114376404594
15576,27.517671614378816,-15.606774125486718,118.78097911824554
20572,42.286905269179506,-23.721259426325986,180.71340154010156
25597,48.064414519977355,-26.439941027573223,202.1694775225358
30593,44.483127427340925,-23.76772326378698,183.7339448350638
35594,39.08934250630757,-20.366178729646375,160.45022857575503
40582,37.99841579691212,-19.909653734506616,158.26185959524548
45614,40.39420514279494,-21.764539265712813,170.74436893581716
50609,42.14968380019073,-23.172505867460877,178.2815971338031
55596,41.606414896853735,-22.859991928866688,174.53748629373865
60585,40.41231955444428,-21.774533890262273,168.23529516074956
65576,40.306915544083296,-21.332054184226042,167.54344750693943
70574,40.9790221850003,-21.951844951697975,171.1016606871398
75572,41.17683986626711,-22.976384043059987,173.23262680841592
80572,40.68079334584012,-23.39339276927179,172.07213194381217
85602,40.34513715252861,-22.80545423707364,170.19307887354813
90596,40.677663336063645,-21.887432049506767,169.82458580384056
95585,41.23671739689711,-21.613231592715003,170.3892366693681
100577,41.40569036286785,-22.08971401316817,170.43207451722813
105577,41.15339758172105,-22.528640451128187,169.86609530735024
110578,40.84584674878229,-22.28692468338621,169.63583269813313
115577,40.63146496147543,-21.611986648919277,170.20052761077963
120578,40.30626457250743,-21.319267733638185,171.10220294896487
125578,39.80809818071218,-21.85985445919424,171.6674406541469
130578,39.55885161955524,-22.831462118609014,171.6263859213732
135577,39.964547393255465,-23.41255461460099,171.16938485938772
140578,40.726898146446096,-23.140346614195508,170.7041556490568
145578,41.12133010503428,-22.27498173992604,170.52872451031178
150575,40.90672588658547,-21.53428174882254,170.63331961185375
155577,40.5431139842771,-21.4671780840448,170.84392607618764
160579,40.52516857397323,-22.02541671082785,171.0868594253707
165619,40.83838862113574,-22.67002035112556,171.33776889980555
170623,41.14216421733014,-22.8443539992933,171.3985423183195
175623,41.279194287453,-22.474266023737272,171.0474669672611
180624,41.43236573788074,-22.06101677825093,170.4223576450704
185625,41.784488622471954,-22.11995971881406,169.9575281095663
190626,42.178374851995386,-22.561859837738297,169.90615959944708
195624,42.23076522193305,-22.834353859632383,170.1432740110647
200624,41.74640112344064,-22.607693136662633,170.43761943608428
205624,40.998227626529655,-22.128208730607344,170.6989145734774
210625,40.56559877182394,-21.90231154022184,170.91523080439177
215625,40.73437220764859,-22.125866546841316,171.03483472055936
220625,41.11712705364292,-22.5071819775487,171.013449132524
225625,41.16648731167759,-22.700306061403055,170.90135445685044
230623,40.949521907644,-22.763963815160054,170.8101918803601
235624,40.983312191288036,-22.983733414316113,170.8029034440221
240628,41.3876528129812,-23.364994018065296,170.84993046514518
245627,41.65555011562877,-23.6065595853052,170.90020728247808
250626,41.314606379665776,-23.526039413810818,170.96144449883283
255627,40.55552642536969,-23.203709499033028,171.0707270991126
260626,40.06462545269229,-22.744260474456517,171.18858347775478
265630,40.23287829256351,-22.23073717465196,171.18239906355228
270627,40.68797028526856,-21.869479437581088,170.98524287377754
275627,40.77527357584768,-21.829382735502616,170.73851937584416
280627,40.35714938351506,-21.976193570704808,170.66059426523145
285628,39.9071534405978,-22.038381125473467,170.7828737776193
290629,39.924310133198524,-21.97377047004976,170.94230621544702
295629,40.47872490855254,-21.975834666975672,171.03311259630613
300626,41.251655302494086,-22.158426596929477,171.15091467476972
305631,41.823176118820534,-22.388489688162416,171.44898726840697
310627,41.94022742393407,-22.462850427304485,171.88245864401185
315628,41.64040716649361,-22.345055749961258,172.15798025436743
320628,41.2119765041109,-22.147502943578605,172.00974430185593
325689,41.01675691626672,-21.94958467995914,171.49548838009835
330694,41.20485178358231,-21.751314712492437,170.95118267849853
335698,41.56294287720931,-21.58032480762101,170.68050079419982
340699,41.76352960013748,-21.511033004960904,170.71814563160592
345698,41.733733588457056,-21.557640626237927,170.8662636716553
350699,41.61740754117673,-21.6496798326995,170.92804405060582
355699,41.45221212524052,-21.724337322959123,170.86682789387703
360698,41.1452143290067,-21.740889170946172,170.7179240250961
365699,40.75169184582392,-21.617343962153477,170.44129438269294
370699,40.505835209379036,-21.31080352068934,170.009526539152
375699,40.533371889340735,-20.963258625693843,169.6027322717655
380695,40.74093412329593,-20.782811105474792,169.53238648395765
385697,41.004270999214604,-20.78348399061384,169.9304816494756
390699,41.24984121412008,-20.85045198430094,170.5870275277136
395699,41.3460300999556,-21.01987771582625,171.10404594271924
400701,41.18485108594443,-21.397269232965265,171.18181452644362
405705,40.914374675913706,-21.830326354980663,170.78863711995592
410708,40.83174760453578,-22.03622253649494,170.17549092515264
415709,41.002678458244226,-22.05876468507403,169.74936924854757
420709,41.19590591280189,-22.21582769425101,169.75977886526573
425711,41.20745472668419,-22.56641024090297,170.05855272144493
430717,41.064966922206146,-22.768513182278916,170.30894044354454
435719,40.89650242438676,-22.535644712097074,170.40951245436833
440725,40.77429751690515,-22.0326741955959,170.55205809008828
445732,40.73586042407597,-21.73707760141971,170.8808875148545
450735,40.80731658699372,-21.979530247370256,171.2294593749184
455737,40.94330143598806,-22.668804609375606,171.25509166479873
460737,41.056214691418106,-23.381879625887443,170.84853710278895
465748,41.138360573244626,-23.66625100929549,170.33284952218452
470755,41.25285342219678,-23.399524374889584,170.12783585138965
475766,41.401610736552456,-22.91658487770862,170.29292763311946
480775,41.52613132582036,-22.636705249257044,170.58049722784483
485784,41.62565662018405,-22.578733717414917,170.83149446202864
490793,41.704658775092284,-22.411275621710924,171.02797232509178
495803,41.64306785625482,-21.95146008853473,171.03279288597676
500809,41.39995147283587,-21.483346092683178,170.6902226257044
505816,41.27231909151031,-21.51532070645012,170.21054816284482
510824,41.47924336523933,-22.138062990313614,170.0572294620782
515825,41.57264701696269,-22.738199625591367,170.37995620361522
520825,40.93309853579888,-22.654858702655304,170.8407839844369
525835,39.82272125078827,-22.015209201543147,171.0478776663762
530847,39.239768332164196,-21.525425465223734,170.97366589174143
535858,39.67750958512548,-21.548433689574672,170.88183037403977
540866,40.542668267037264,-21.82739848395773,170.9393647402253
545884,40.90643420613256,-22.04467387326043,171.01888050793931
550896,40.59446259203958,-22.17113519498871,170.91143171543067
555904,40.342701286647745,-22.21775665378478,170.6252262627106
560910,40.80940979802143,-22.08572852721505,170.3699297093548
565910,41.688523602320416,-21.809883014924893,170.30082856542413
570910,42.10600118700225,-21.653294986301933,170.38183834508447
575910,41.709154873552336,-21.818136290413054,170.49492318689923
580910,41.03378055606518,-22.20651238805524,170.60104235163334
585910,40.83427139517761,-22.556477843970598,170.71014141121455
590910,41.243401163636136,-22.741660715499847,170.72133300585884
595910,41.708605342855904,-22.838755598487133,170.49775959452933
600910,41.72928845212262,-22.934239531147707,170.16195140127502
605910,41.417402636577506,-23.00223892857299,170.04796244757938
610910,41.21589080773279,-22.98038452366169,170.2564343445149
615910,41.315771822015186,-22.819492606486374,170.51313103732707
620910,41.543885030149845,-22.443506154977456,170.55205409068958
625910,41.65419859052485,-21.832271213359093,170.42687213551747
630910,41.54835636020612,-21.18184047086687,170.3552859184924
635910,41.310692211561445,-20.83367915236063,170.37888652340163
640910,41.1452895320482,-20.98031045635608,170.30344620464135
646023,41.203959427967625,-21.47044964032656,170.0014141817115
651035,41.42513186437443,-21.924243128669637,169.6548149236405
656032,41.605771397269415,-22.07007606569908,169.552494587952
661036,41.62929266013392,-21.960585487671487,169.73364062023305
666034,41.55705351194842,-21.83569894679125,170.044813471931
671031,41.49868553283716,-21.84762276996589,170.45416461037027
676035,41.438103799148166,-22.007808222360996,170.97314659364002
681033,41.23323960060671,-22.30563882365825,171.33286459431903
686030,40.832428152831035,-22.658068171830116,171.19999574603193
691034,40.427416632011266,-22.783749726104535,170.73563565492108
696036,40.25191121863788,-22.441070020527786,170.49850720147666
701033,40.27252200217925,-21.81781166545867,170.74539910930037
706030,40.25544856221319,-21.3952751007317,171.16643422150673
711034,40.12277378878441,-21.408458614932865,171.34437369332508
716032,40.093655957123474,-21.678200142533044,171.21175146421882
721036,40.42018190550598,-21.955179527326425,170.97988165752298
726034,40.97951992415238,-22.17642435886874,170.79236018766477
731030,41.239672425096025,-22.345626333188,170.60184650895985
736037,40.86948835049169,-22.376309692002707,170.37918068504302
741036,40.28005931523459,-22.173729038791972,170.28719233130457
746035,40.17020395896506,-21.807188722813,170.48646216531787
751036,40.62494849556755,-21.52036876142428,170.83832835616087
756037,41.10264070493113,-21.55823651516108,171.00239468457988
761040,41.222244096221424,-21.977879633474437,170.8164069935768
766042,41.07867833650443,-22.551385542694906,170.42328762181282
771048,40.832542729905846,-22.857631191339415,170.05152257410933
776060,40.55489736781049,-22.64305622131364,169.84483606094972
781069,40.51169974581187,-22.11802665803557,169.8984475448696
786077,40.9799659137384,-21.73393678954649,170.24139125475529
791084,41.678626219263876,-21.687913286559496,170.7189629160524
796085,41.95701767730114,-21.800533902070345,171.06036039658937
801087,41.64334011671241,-21.83473867523367,171.1234790823914
806089,41.245085563740886,-21.763151597225942,170.97905732773987
811096,41.242122484359044,-21.701224467981774,170.75266169067152
816094,41.51353529507181,-21.70477497527502,170.48702122405814
821100,41.57809361434911,-21.72467186134261,170.18884924452988
826103,41.25586706012592,-21.746724540408124,169.94464161129807
831101,40.916568237979305,-21.874704076735558,169.91033903328758
836111,41.0132538397203,-22.16533239317725,170.132902283982
841116,41.527051181948806,-22.444834410934178,170.42989006501236
846115,42.029998959262834,-22.472753324914905,170.5563390954548
851117,42.197921477596935,-22.25954042498681,170.46530789401282
856116,42.11091597845805,-22.023334209717458,170.28682799595816
861115,42.05149872692124,-21.884778529930355,170.09946590515537
866117,42.05491597946323,-21.874934187287952,169.893331476518
871116,41.777067824138484,-22.151406200676128,169.7414274388998
876115,40.986139757665555,-22.737949276144004,169.8165713586435
881117,40.069396630604324,-23.11713751101409,170.1680927571605
886116,39.73547455615379,-22.74671250395974,170.54193958395535
891115,40.23821680279495,-21.972312854434556,170.51835616770754
896117,41.11608294712677,-21.70732714292542,169.95911877325375
901116,41.69275143410766,-22.189399485922912,169.28104569865775
906115,41.72669914395549,-22.690565078416252,169.09982232064513
911117,41.51222380889394,-22.512305333909804,169.597307268536
916116,41.390737276792414,-21.81442351133697,170.31120837181314
921115,41.39385252735777,-21.3265838055206,170.53269524755362
926117,41.441904860203884,-21.459986851658513,169.98128377458355
931116,41.57354362769809,-21.913815357548973,169.11717207623673
936116,41.77971980573638,-22.1558595771803,168.6856562653383
941117,41.823440723794214,-22.07600154368595,169.05071043273145
946116,41.42170716120902,-22.004104137498228,170.06344814558625
951115,40.57050252960855,-22.181143202172553,171.2319750866479
956117,39.62172255705532,-22.43065186049842,171.87567037495606
961116,39.07365998307852,-22.41682241470973,171.61871874864272
966115,39.271568275862215,-22.06848922264961,170.89494555631617
971116,40.11335966268513,-21.611701212535767,170.48256533289637
976116,41.00405837183626,-21.269602940941414,170.52008328942293
981115,41.347760322596855,-21.07942838553191,170.4903039423516
986117,41.11777640868244,-20.990600754381365,170.12106123635343
991116,40.73218489974959,-21.014314472613602,169.744946696692
996115,40.4594082505742,-21.217531432686467,169.72171238778202
1001117,40.255522708784234,-21.613099072223097,169.9571795145132
1006116,40.12298231185946,-22.084037783969787,170.1384694432607
1011115,40.25018641034393,-22.36554881138263,170.17896832196143
1016116,40.71413482874296,-22.156205506237118,170.26149023579308
1021116,41.292574645421205,-21.482360801993003,170.54697323463995
1026115,41.67731385621931,-20.910601709210194,170.98053353845947
1031117,41.77031326728147,-21.014051338636246,171.36780892957373
1036116,41.700071201988656,-21.647742308255136,171.5498210479134
1041115,41.588552186161316,-22.165687415393705,171.49099693897722
1046117,41.38669157636592,-22.298062300585514,171.25977381895976
1051116,40.96848939548869,-22.385135210551802,170.97990346359194
1056115,40.35818166777002,-22.75844738132337,170.78984785062133
1061116,39.882750463631616,-23.265041136010854,170.7779172196441
1066116,40.011959175674235,-23.493399673224154,170.92490717186968
1071115,40.7562375298986,-23.246706523904173,171.13867015741465
1076117,41.32355527989741,-22.678467164164037,171.3454076775788
1081116,40.924130534313,-22.098939969132843,171.51713735789016
1086115,39.869425584688685,-21.76610719912486,171.62507075784603
1091117,39.28732209287785,-21.771923978430426,171.6198645695953
1096116,39.78195887984908,-22.02168240254422,171.47175460048012
1101115,40.84581176155403,-22.34072602722626,171.20058897151858
1106117,41.56833903845774,-22.615896761655172,170.85749343355732
1111116,41.543352345451154,-22.802596234368334,170.49979908026546
1116116,41.007559767463874,-22.844317807180722,170.1878991556364
1121117,40.41036927279772,-22.708887733392068,169.97757836561453
1126116,40.06329145926877,-22.498825748599145,169.901189091873
1131115,40.03364321304708,-22.389859302722687,169.97107092994676
1136117,40.195812932931155,-22.4282145641959,170.18561454370905
1141114,40.46202077085197,-22.46483443197861,170.47488175909976
1146115,40.95315837598665,-22.316889927032314,170.6659321356746
1151117,41.72741429392237,-21.98308325377314,170.62316079397655
1156116,42.41204116444825,-21.672190638894044,170.43459929007363
1161115,42.474845438809275,-21.576094783721327,170.35770317146822
1166117,41.87588089521052,-21.652400210933806,170.5601352500747
1171116,41.15085157738201,-21.707971434680843,170.9481539958275
1176115,40.83348170293993,-21.657934893779274,171.243046670263
1181117,40.99542531089252,-21.616184001656265,171.2061915043471
1186116,41.33412255378027,-21.726306677045987,170.81728875332658
1191115,41.473780624664265,-21.926414999576043,170.33776247236563
1196117,41.15786540128258,-21.950615791055746,170.1862069686362
1201116,40.47323835501242,-21.695371471795504,170.5290079073733
1206115,39.95748336513005,-21.501797472604295,170.98235438326327
1211117,40.11991895038662,-21.803508700082947,170.98161295126116
1216116,40.8018211969521,-22.536608276997363,170.44078640652978
1221115,41.34202348216522,-23.179350324793777,169.81760075293406
1226117,41.36080527528164,-23.356883869567447,169.56129785267618
1231116,41.081088227590904,-23.19061834354857,169.69041768678815
1236115,40.90916316305172,-23.03531447121015,169.93072077670786
1241117,40.98262292927778,-23.002089511620465,170.14398518873705
1246116,41.13914797151181,-22.853488101897618,170.47010575147493
1251115,41.10937882049579,-22.408623950238486,170.95682636402776
1256117,40.76590395653961,-21.88526922229348,171.2734653893103
1261116,40.32240386782527,-21.631247874947753,171.13714456072927
1266115,40.15642376928039,-21.6596208851993,170.82336293591885
1271117,40.35152001661467,-21.707387915755262,170.80243628784675
1276116,40.60752305375484,-21.637368382859123,171.02760336593525
1281115,40.64884838233274,-21.540700210002473,171.01673120241463
1286392,40.527131450986026,-21.494378494698335,170.59040290398644
1291407,40.48063384984535,-21.428041932194635,170.15654839704283
1296414,40.67010105595416,-21.315810083234485,170.10683770668876
1301430,41.107145433952425,-21.352292161275596,170.21436355726175
1306439,41.6681807110774,-21.715308040461633,169.9836953893958
1311445,42.09554449369791,-22.21504406375869,169.44100920788554
1316453,42.12309005392616,-22.441377312320913,169.1721609497485
1321463,41.696411809446175,-22.258221539056276,169.59813959081458
1326476,41.04969776581539,-21.95505389847581,170.48352485436357
1331486,40.533156144118166,-21.898381617922475,171.2159537669074
1336492,40.31487573197878,-22.15121106174027,171.47170459404575
1341493,40.26157686194542,-22.46818805094084,171.4771609022361
1346497,40.18712271233637,-22.60446123018402,171.5359501725475
1351496,40.14595139938462,-22.55107283624339,171.50888965735476
1356494,40.30988648762696,-22.464807962871614,171.0851386257918
1361495,40.62482611120281,-22.456885211244245,170.42365174188905
1366496,40.830759258150216,-22.51258140657533,170.08216393648456
1371496,40.8068208902752,-22.584455565817937,170.30770900986258
1376496,40.67084104470736,-22.70696585730454,170.72230165041924
1381495,40.55103374660436,-22.964259039762336,170.77288975610824
1386497,40.509652530839034,-23.276770339655307,170.34400573538505
1391498,40.67979401089824,-23.319900752501287,169.84912816521265
