timestamps,x,y,z
1,0.8560491488530414,-0.19135219423006147,10.4639422898528
5474,6.96870392637126,-1.4660036364626292,85.6292607721864
10540,25.614123306095546,-5.036322383401593,318.0107847917015
15576,56.4148500612539,-10.314960243133196,711.918334416331
20572,83.76316137380977,-14.314136427000376,1080.9514993194502
25597,90.8795200046923,-15.061141097195922,1204.6653199251443
30593,79.99117874681829,-14.162675328748447,1087.6578416856353
35594,68.43853953900854,-14.274756678122323,943.3279939781195
40582,67.1275898687614,-15.718932834646875,930.3571015039382
45614,71.22238369066784,-16.937453141881612,1009.582528290798
50609,71.31821817876477,-16.90601607474744,1058.4504388571224
55596,67.16454610953635,-15.794651569070995,1034.9376647975002
60585,66.41733516471179,-13.834319733897004,993.3162031320198
65576,72.3846884373168,-11.233449587338542,987.5447436996049
70574,78.90665189005607,-9.751088316109453,1010.5811629420442
75572,78.3758570033793,-11.980012213395018,1025.0771392235542
80572,70.84136482777932,-17.014518571971717,1017.5398569726901
85602,63.515841123293036,-19.4978155074428,1005.5379982248938
90596,62.95697650703986,-16.224665119460457,1006.243983123479
95585,68.75215021371959,-11.054685353627775,1015.5451271273673
100577,74.93019155088326,-9.803921235916857,1018.857414450275
105577,77.0223736345405,-13.209684767558107,1012.1294232166493
110578,75.7816127852296,-17.881943860181085,1004.9159034829192
115577,73.78125090343785,-20.61645818771554,1005.5643178025201
120578,71.66064576435112,-19.727772888665488,1010.9336373287438
125578,69.13005266374653,-15.867551657589228,1012.9984539569003
130578,66.98098019345497,-12.45302465804175,1010.5866892455043
135577,66.43679284399018,-12.396705285373388,1009.5628325052899
140578,67.92454255049402,-14.782390618551567,1012.9723713304993
145578,70.92949285951961,-16.505094222735632,1016.6434600387373
150575,73.47118891345146,-15.82148848254394,1016.1096660476048
155577,72.3366656291965,-13.32098479017859,1013.4200269127352
160579,66.81635318760486,-10.990324824308832,1013.6724334385176
165619,61.87201865394772,-10.6094130178447,1017.2284681572835
170623,63.79189083809165,-12.057202402352202,1018.9874957446243
