IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ
-1.95312,6.34766,1020.50781,0.0075941021083525,-0.0337075438437664,-0.0062618922903052
-14.64844,-2.44141,1019.53125,0.006128723668378,0.0129234649793172,-0.0011990411961201
0.97656,5.85937,1027.83203,-0.0620857248165682,-0.032375159492794,-0.0690138092823597
8.30078,-0.48828,1027.34375,0.0326416712695735,-0.0230489926347623,0.0266462907560478
14.16016,-0.97656,1017.57812,0.0255804181818548,-0.013456313999951,0.050228132411444
-3.90625,-0.48828,1017.08984,-0.0177198042967228,0.0301102457224809,0.0077274452632048
5.37109,0.48828,1024.41406,-0.0215834396618626,-0.0169204434993094,-0.0603538345998143
-16.60156,-3.41797,1026.85547,-0.0053291883380394,0.0007993607974134,-0.0262466103573411
0.48828,8.78906,1038.57422,0.0173201238980161,0.0066615726890119,0.0230489926347623
-6.34766,1.95312,1024.41406,0.0448989440734045,-0.0303767574992605,-0.0105252080541518
-3.90625,1.95312,1022.46094,0.0433002224785777,-0.0510274932088574,-0.0030642745677264
1.46484,3.41797,1014.64844,0.0083936374386911,-0.0149218669728507,-0.0514271736075641
-4.88281,4.39453,1029.29688,-0.0421010067495324,0.0382373713843925,-0.0259800985805615
-8.78906,0.48828,1024.90234,0.0122572728038309,-0.0037304667432126,0.0117244237831971
-15.13672,-1.95312,1017.08984,0.0378376909856858,-0.0158545709251164,0.0213169278850831
-9.27734,4.88281,1012.69531,0.0035972981212855,0.0125237845806105,-0.0087933178373978
-4.39453,6.34766,1024.41406,-0.0195850376683291,0.0555574952824086,0.0115910806283447
-12.20703,-4.39453,1019.04297,0.0077274452632048,-0.0069280844657914,0.0023980823922402
5.85937,-6.83594,1028.32031,0.0197182062902563,-0.0302434143444081,0.0193185258915496
-7.8125,0.0,1015.13672,0.0159877395470436,-0.0295773967018471,0.0556906639043358
