Timestamp (uS),Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,Roll3,Pitch3,Yaw3
1,-3.992995162789263e-05,0.0003968295817728778,0.0019008271136200785,2.014595505417757e-05,0.0005508582842565926,0.0019457152524780018,0.0001619594410995823,0.0010955666569039963,0.002883802492509256
5460,7.460989676317572e-05,0.0008221049951597289,0.002763975621911847,-0.00016484081500225495,-0.00016083674988832519,0.00088001753543185,0.00015099854726252678,0.0010686590800093078,0.0030414669125739136
10524,0.00011627601357671589,0.0008579382171629833,0.0024208189566339846,-5.920706005350022e-05,0.00025879947637041446,0.001755925988087981,0.0002081039832001592,0.0014120025572203548,0.003698820942476658
15547,0.00012435490084382935,0.0010932637604751608,0.003405317137724467,-5.130008789453261e-05,0.0002866517319574771,0.0016306407324410688,0.000134541157311735,0.0010984370353432377,0.0032845672914859616
20551,-5.114979596890328e-05,0.0004983564927115137,0.002573729457967573,5.0409425019601414e-05,0.000710025707921212,0.0023748929410615893,0.0001758687834559161,0.001226708943309146,0.003318237295556569
25580,-7.238954966827174e-05,0.0003576717887072754,0.0021545550993997686,-2.2316464977194488e-05,0.0005261504292110318,0.002345547950548442,0.0002558843669782946,0.001516648191902213,0.00371970414983394
30575,8.662929331103204e-05,0.0008782215206944963,0.002930734271240851,9.088328753330452e-06,0.0005271596941734435,0.002081421278402785,0.00013164614196419576,0.0011385774843566334,0.0032636894561719463
35571,5.457306298017722e-05,0.0008489945418467537,0.0030299849521598725,-0.00011934446299231043,-4.412779879568989e-06,0.0010753783066490923,0.00012811186943701203,0.001033781802007857,0.0031024894317290314
40566,-0.00011639189235342019,0.0002730056902428515,0.0023125818882368827,-3.254253734943918e-05,0.0003693919994262366,0.0019530338473049604,0.0001333670653116668,0.0009881400255643148,0.0025693884233524097
45593,0.00014232487454603416,0.0011697443383200325,0.0033784489099781454,-4.99044999807605e-05,0.00023701648091461368,0.0015505124274051408,0.0001725750752030683,0.0013167282589510113,0.0036534526864879092
50584,0.0001388838686128976,0.0010919350461457838,0.0030559942042237285,-0.00010284939984071188,0.00012589665754872642,0.0014943853823165165,0.00018334543353813558,0.0012095086501049052,0.003195102990681411
55577,5.9439683184160534e-05,0.0006331139763056123,0.002059268365834564,-0.0001271752264563608,3.387280665033453e-05,0.0014815742492425257,0.00026035443451616244,0.0016105672760666325,0.0040684814902169405
60574,2.4504047247183286e-05,0.0006487731219883069,0.002435146982271461,-8.792573216810702e-05,0.00020649290405971393,0.001700938284036967,0.0002153363754932078,0.0013171171230789598,0.0032873687340381854
65570,-0.00011346221388526634,0.00016934910436418045,0.0018093745508790957,-6.601559932211616e-05,0.0003033834845148184,0.0019514381584547383,0.00012052786052452701,0.0010108765130897824,0.0029335094912170748
70566,5.839683345446681e-05,0.0007370562114509989,0.0024351819480521613,-4.981382221476717e-05,0.00026421492588397553,0.001601532144782728,8.6012714067311e-05,0.0008907370980462978,0.002867347970012015
