,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
1,106,111,71,-18.06641,5.37109,1006.83594,0.64885,0.09160,3.17557,23.85000,-14.85000,63.00000,-0.97656,-2.92969,1008.30078,-0.32061,2.03053,2.86260,-5.85000,-32.55000,78.90000,-5.85937,-57.61719,1012.69531,-0.53435,2.61832,0.54198,9.30000,11.10000,59.40000,
5460,105,110,75,-10.25391,5.85937,1020.01953,-1.67176,1.12977,-2.06107,23.85000,-14.85000,63.00000,-10.74219,-4.39453,1017.08984,3.45802,0.85496,2.60305,-6.75000,-33.15000,79.80000,-9.27734,-56.15234,1007.81250,-0.32824,2.24427,-2.64885,9.30000,11.10000,59.40000,
10524,117,111,85,-6.34766,-1.46484,1016.11328,-2.30534,3.90840,-0.68702,23.25000,-14.40000,62.85000,-2.44141,1.46484,1011.71875,1.15267,1.25954,-1.53435,-6.75000,-33.15000,79.80000,-8.30078,-70.31250,1018.55469,-1.34351,0.07634,1.19084,10.80000,13.05000,59.10000,
15547,111,106,76,-13.18359,10.74219,1014.64844,-2.82443,-0.16794,-2.45038,23.25000,-14.40000,62.85000,-3.90625,8.78906,1014.16016,0.77863,1.35878,1.70992,-6.75000,-33.15000,79.80000,-8.78906,-60.05859,1007.32422,-0.22137,0.31298,-1.67176,10.80000,13.05000,59.10000,
20551,107,107,76,-4.88281,5.37109,1019.53125,0.87786,-2.90076,0.42748,22.80000,-14.25000,62.55000,-7.32422,6.34766,1008.30078,-1.20611,1.35878,1.35115,-6.75000,-33.15000,79.80000,-9.27734,-78.61328,1017.08984,-0.19847,0.96947,-0.06870,10.20000,12.30000,59.10000,
25580,107,107,77,-8.30078,9.27734,1016.11328,1.19084,-1.84733,1.43511,22.80000,-14.25000,62.55000,-2.92969,0.00000,1010.74219,0.45038,-1.03817,1.44275,-4.20000,-32.70000,81.90000,-14.64844,-59.08203,1007.81250,-2.51908,2.03053,-0.25954,10.20000,12.30000,59.10000,
30575,111,106,83,-11.23047,-2.92969,1028.32031,-1.66412,1.00763,-3.18321,22.20000,-15.15000,62.10000,-11.23047,0.97656,1021.48437,-0.21374,1.58015,0.40458,-4.20000,-32.70000,81.90000,-3.90625,-61.03516,1023.92578,-0.12977,-0.74809,2.71756,10.65000,12.15000,58.35000,
35571,117,101,81,-7.81250,10.25391,1020.99609,-1.39695,-1.09924,-1.05344,22.20000,-15.15000,62.10000,-2.44141,5.85937,1011.23047,2.22901,1.51908,2.45038,-4.65000,-31.65000,80.10000,-2.44141,-53.71094,1012.69531,-0.33588,1.12977,-2.10687,10.65000,12.15000,58.35000,
40566,107,104,81,-6.34766,0.48828,1030.76172,2.33588,-3.83206,0.17557,22.20000,-15.15000,62.10000,-13.18359,1.95312,1013.18359,0.59542,1.26718,-1.70229,-4.65000,-31.65000,80.10000,-11.23047,-59.57031,1016.11328,-0.13740,2.42748,3.74046,10.65000,12.15000,58.35000,
