timestamps,ax_filtered3,ay_filtered3,az_filtered3
1,-0.2902321528657986,-2.853952062385165,50.161833101237384
5460,-1.6674567197608534,-14.659306638673058,258.6893830883575
10524,-4.395924461046619,-35.435543370330016,616.3634364137095
15547,-7.324901314137772,-55.98568463435702,944.2145462499033
20551,-9.139931971159733,-68.45747840677785,1105.1261453943807
25580,-9.949115431234272,-72.47655444308754,1113.0550670914033
30575,-10.392453124253931,-70.74147049759979,1055.7621717255718
35571,-9.747960071802352,-65.59071778021381,1006.7851259431654
40566,-7.689491672775702,-59.8918126645367,991.2780626855949
45593,-6.411977071382143,-57.26877901136386,999.4767971313814
50584,-7.117910976278945,-59.92035625007892,1014.063750580106
55577,-7.914809935054142,-65.68631290968315,1023.8234874745198
60574,-7.907412430194679,-69.76801775705837,1024.738490835694
65570,-8.529843143588232,-69.75057378188862,1019.3501122482935
70566,-10.770776161372138,-67.82911491421493,1013.6760542047803
75565,-13.714313246691853,-66.84818842323035,1011.273739686697
80562,-14.282043365100597,-66.51116219980646,1011.4712832584777
85595,-11.629788336360916,-66.82776419798495,1012.3491606401933
90582,-9.429181637269597,-68.57690729398823,1013.892385023972
95577,-8.796286161884804,-69.54436216093633,1017.2059308377051
100575,-8.6949386767721,-66.88268457448225,1020.586659276188
105573,-9.899597414315966,-62.46282245295463,1021.2604145578255
110571,-10.653818263173081,-60.328774227809845,1020.1953189638989
115569,-9.541081740327192,-60.897085732355904,1019.510883042595
120568,-9.074350112527416,-62.09510166008568,1018.4129448109929
125568,-9.48290825147127,-62.02364221375202,1015.8947388376554
130570,-8.170076918458502,-60.60468776345499,1013.0339543879951
135571,-5.401161185298537,-59.63028614468884,1012.1335582304954
140571,-4.024545990028696,-60.20135971705131,1014.642099773499
145571,-4.751647020532122,-62.16987632788541,1017.9102667028817
150571,-5.931213653175557,-64.86871620789351,1017.7819529140902
155574,-6.460991427161311,-68.18859014003787,1014.4463122395423
160576,-6.210688692268339,-72.30128131220609,1011.7631222120176
165616,-5.78621911302126,-74.41566144548253,1012.44874928912
170615,-6.072292596372165,-71.71034153309516,1015.1127502879109
175603,-7.487936878219424,-67.5653212929404,1016.4906052284656
180589,-9.600814585833145,-66.76131614372899,1015.9692290930755
185585,-10.84396042636103,-69.4275091042497,1014.481288972674
190580,-10.529250966583113,-72.77997066916453,1012.3618334978358
195579,-9.831358697901933,-73.7173485962259,1010.81452487582
200576,-9.338184712175838,-71.41370499111449,1010.8913698245358
205574,-8.651217185410808,-67.55491149812404,1012.7813298742923
210571,-7.6405614725600355,-63.981324848307764,1016.8874114450967
215571,-6.295947912458146,-62.124700562942145,1022.0950160695514
220570,-5.124664155927345,-62.26148026452337,1025.911378629906
225571,-5.043994321121196,-62.78486029348803,1027.1420246202517
230570,-6.233196572030872,-62.55830196457318,1025.931975566443
235570,-8.017641863032068,-62.69942738774917,1023.2278459807509
240574,-9.494149886810597,-65.07643173440144,1020.7589267074014
245578,-10.131685145921702,-69.32935300329885,1020.2101179787534
250582,-10.018153533187542,-72.3700325719801,1020.9907070132163
255585,-9.79107261770774,-71.69862818598118,1020.5125287082781
260583,-10.105224532305636,-67.9129125191528,1018.4190056948933
265586,-11.483335143735097,-64.11013813752636,1016.2817080675087
270587,-13.076531455942048,-62.57238103542579,1015.2378142390845
275587,-12.584910202336147,-63.5152731117108,1015.6592745719086
280585,-9.812904292076489,-66.0278481271196,1016.7987043851498
285586,-6.573218406214204,-67.25688513083615,1017.7096933403704
290587,-3.9690066287556864,-65.51830423639464,1017.7914101245534
295588,-2.767516272422505,-63.49691978934485,1017.4335179213725
300586,-3.1003531612703723,-64.1721548922044,1017.860258601235
305587,-4.085420925362392,-66.39002724143658,1018.737355812149
310588,-5.3165545063557405,-66.81582806310325,1018.612040576474
315586,-5.7203548733394864,-65.06194351452812,1018.0115574003179
320587,-4.936350936750803,-63.83141791168069,1019.0697934236904
325647,-5.340959958373366,-64.45486388905124,1021.8609447850363
330661,-7.234657189837023,-65.23773530679672,1023.6801875313815
335669,-8.513294629023747,-64.60071041104169,1022.763812370275
340673,-8.785173353898786,-63.2564772555749,1020.0677162902426
345677,-8.834884292064451,-62.65693400229534,1017.4364639908248
350676,-9.266555067391808,-63.58201923023967,1015.7906488502366
355676,-10.303072146197483,-65.56616558792014,1014.9753406683734
360675,-11.092919699432922,-66.32285420312871,1014.5206960681708
365675,-11.010163270002058,-63.941211515639566,1014.1396259834909
370678,-11.329434406806874,-60.60624823217106,1013.949314632428
375677,-12.689129802654977,-60.524653015933275,1013.834015688918
380676,-13.81771434887895,-63.53524861366289,1013.8283693642376
385675,-12.775588251719286,-65.3246225714423,1014.1176924406052
390675,-8.354516025265202,-64.59588944409732,1014.8530697779053
395677,-3.1067024904860348,-64.07953300842284,1016.9807356408741
400679,-1.4177719660991754,-64.45090670223202,1020.1419148967411
405682,-3.2966387463647355,-64.46416640472661,1022.3387733521379
410684,-5.762878945104626,-64.6095187669186,1022.5491028433772
415684,-8.587727752599347,-65.11057179545602,1021.3856696818684
420684,-12.661742897482139,-65.0371454856556,1020.5770976782112
425684,-16.1078358140742,-64.35710369621219,1020.9357973144433
430684,-16.06950637032749,-63.34847288591359,1021.2954865022945
435684,-12.22886030446354,-62.76061231850676,1020.3849499785172
440683,-7.203574614154478,-63.58071662719291,1018.6181661340391
445686,-3.37917408773641,-64.77959120081218,1017.8773778920978
450694,-1.1298019556776782,-64.9162031714297,1018.7254375758611
455703,-1.09014137104668,-63.773100769630204,1019.2815700603477
460706,-3.630544532508503,-61.42662282561683,1018.534103008712
465711,-6.880473742411637,-59.15177169800597,1018.6772618547811
470723,-9.41527829014042,-58.854818406423014,1021.9073839638284
475728,-10.835693595994572,-60.56783453245808,1025.9900097793327
480736,-10.419966996615,-62.57242431231924,1026.1593805847629
485745,-8.572015602491751,-63.35410476080562,1020.8882611480195
490754,-7.054965068873491,-63.29674929787421,1014.4826296506059
495762,-7.2950279468235655,-64.14737211206405,1013.222705553733
500768,-8.230048522785467,-66.10565158224101,1018.3445258487135
505770,-7.61017200814449,-67.80531055936373,1024.8221381734031
510773,-6.344835140545246,-68.75218077432697,1026.6756440018803
515779,-7.079476849784477,-68.35881080639993,1022.970992568378
520784,-9.502230490757944,-65.61460286823265,1018.5349698270504
525790,-11.147966855889484,-62.249799937445374,1018.1249418380359
530788,-10.701330996294208,-61.477656518773244,1021.6039882692214
535796,-8.645219745325988,-63.89857201771122,1025.2964109160223
540799,-6.261647545795362,-67.99460609122201,1026.8187655480908
545801,-4.76479554539335,-71.37383260980138,1026.182760562932
550798,-4.884874699240021,-71.50125875204272,1023.7078604527528
555802,-6.245662952511361,-68.33812401808103,1020.8315516554495
560802,-7.561196585743934,-64.53176092266436,1018.9791737799449
565801,-8.401109857958481,-62.787531131508786,1016.867200796042
570802,-8.72150505123048,-64.23180729007177,1014.0243079222737
575802,-7.4086159410938945,-67.42177657545606,1012.6371219584208
580801,-4.735878711995672,-68.7219071627593,1013.9705423763816
585802,-3.0719332355596327,-66.25241232916439,1016.214558626575
590801,-4.196377031044887,-62.36142213249259,1015.792138818803
595800,-7.6471173426473,-60.29442614519961,1015.0600518727435
600802,-9.895049937868299,-61.155336408094875,1020.9074260178268
605801,-8.204535722688062,-63.92882305927252,1029.0477727002792
610801,-5.19961571308602,-65.63865213293643,1027.273570912869
615802,-5.0566506137919065,-64.77374535314829,1015.2975404904317
620802,-7.861459003566063,-63.97674478995967,1005.9152918707042
625800,-10.975251040032834,-64.9039830650667,1010.166429930552
630802,-12.428052033005926,-65.66710592135173,1024.653480372739
635801,-11.682437729666857,-65.29078422843985,1032.760761940207
640801,-9.992128445401072,-65.32087465096554,1025.1140107515268
645919,-8.408567581707285,-66.10984092676178,1011.3975533134942
650924,-6.336195810934983,-64.9463297790344,1006.4457073736846
655924,-3.8058525114805013,-60.945310304508496,1014.6263712427398
660924,-2.7912962618161004,-58.061392982357034,1027.45381178381
665925,-4.635852715077177,-59.874247167001805,1032.500003420014
670921,-6.701216317505018,-65.44393143420785,1026.4756362137462
675921,-5.621713579346139,-71.36906718654446,1018.1664314929176
680921,-2.0474105036133317,-73.97412203788083,1016.5921625475117
685920,0.8521612056183814,-71.61308541254013,1019.3288215680334
690920,0.3587074744012646,-67.65536729397675,1017.4529987731968
695920,-4.013667587728796,-65.56675438498458,1010.418994403007
700920,-10.019978289740692,-63.85183537859318,1007.0001590389104
705920,-15.112242977221428,-61.00199525296877,1011.582740830711
710920,-18.007609330087984,-58.42717030753036,1019.0432044652247
715920,-17.300881201569524,-57.73879162767274,1021.3668005175987
720920,-12.505765408549246,-59.57177250945209,1016.4584338759335
725917,-6.301228125455906,-63.25288075658214,1011.2785473608435
730917,-2.6462527104970643,-66.08698466962481,1013.0592440857598
735921,-2.9275917065806385,-65.93390963499046,1021.0076842121606
740923,-5.4512998244418185,-64.24241730777851,1028.0000322220867
