Timestamp (uS),Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,Roll3,Pitch3,Yaw3
1,0.15288086012021695,0.5139960248772142,0.00027712076063778166,-0.08326623599248349,0.027923140578956143,0.0002498089758379484,-1.6282099264653234,0.1657133085229627,4.7296677399794334e-05
5460,0.24085682149540313,0.5450696609102852,-4.130190775150682e-05,-0.1651092321701969,0.31659230456541904,0.00035206345338916617,-2.4086608814458694,0.3463526345294212,-0.00020750743075736183
10524,0.0789281497940587,0.451836765669394,-8.060475901101062e-05,-0.04097555696127147,0.2275369755198603,4.213442980470809e-05,-3.1789260815068605,0.40609145335284225,1.666789435654563e-07
15547,0.34250449468953803,0.5980913786312353,-0.00025413837413059857,0.22784639895005965,0.22422571462736057,0.00017028588463086127,-3.295504556574567,0.4525809206175311,-0.0001458052420439193
20551,0.3222501443660764,0.4359920642900428,-8.976451963317247e-05,0.2941655820973933,0.320319737289583,0.00020305302325703754,-3.8576390946636665,0.4869012711602444,-7.889782700256017e-05
25580,0.4227833232160415,0.45184872107358615,8.03547133248929e-05,0.1471220941181223,0.24310647093942034,0.00022743020054425973,-3.606574107633681,0.6592787943630944,-6.20980512044105e-05
30575,0.1296286711876606,0.5388673124312737,-0.00023761011974959704,0.10093035632226346,0.4366407920103823,0.00014902136571072315,-3.508951267371037,0.43867088282516253,0.00020610282250028026
35571,0.35239481120189087,0.4885315023983411,-0.00021073504223584384,0.21665222910135076,0.28761616008397295,0.00028834667748045485,-3.2724982804399567,0.2884014148528452,-8.080768080732452e-05
40566,0.18997198110637667,0.4203491697929296,-9.00461482792897e-05,0.16360271289430428,0.5166645513117247,-4.3794878786439445e-06,-3.313842355438335,0.46048436029683704,0.00028601287229207325
45593,-0.029031043043861907,0.9251679836283546,2.6922015621439408e-05,0.12393195925435849,0.20248664538747907,-0.00010078077539060365,-3.7570298851219035,0.5707497789963341,0.0002655791641843464
50584,0.5597104409084073,0.558424259003528,0.00014469405959742534,0.18741600009003942,0.6719168798996784,8.483946807847083e-05,-3.764722620457131,0.3265280849686091,8.349363003421936e-05
55577,0.30753439719135006,0.501820048787978,2.0386832637589482e-05,0.41735340921695285,0.560967041378966,-3.8184806805618705e-05,-3.8929980489664024,0.4247083532851217,1.310247133337874e-05
60574,0.05671536622553133,0.611276338827054,3.7506073783254005e-05,0.3882924464494165,0.5979985365478233,7.550182406140533e-05,-3.624973613585166,0.5452704020458312,9.882196544120549e-06
