Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
245578,-12.69531,3.90625,1020.99609,-13.18359,15.625,1015.625,-2.92969,-70.3125,1023.92578
250582,-11.23047,1.46484,1019.04297,-3.90625,0.48828,1010.25391,-17.08984,-66.40625,1008.30078
255585,-13.67187,0.0,1013.67187,-6.83594,7.8125,1010.25391,-3.90625,-59.08203,1023.92578
260583,-31.25,11.71875,1012.20703,-12.20703,4.39453,1012.20703,-20.99609,-66.40625,1008.78906
265586,-26.85547,12.20703,1017.08984,-16.11328,8.78906,1020.01953,-12.69531,-64.45313,1020.01953
270587,-13.18359,9.27734,1025.39063,-14.16016,2.92969,1017.08984,-4.39453,-62.5,1017.08984
275587,-14.64844,7.8125,1009.76562,-10.74219,4.88281,1013.67187,-8.30078,-79.10156,1016.11328
280585,-16.11328,6.34766,1015.13672,-15.625,11.23047,1022.94922,-3.90625,-54.6875,1020.99609
285586,3.90625,-4.39453,1021.48437,4.39453,4.88281,1028.32031,-1.95312,-63.47656,1012.69531
290587,-19.53125,6.34766,1025.87891,-13.67187,-1.46484,997.07031,-2.92969,-62.5,1019.04297
295588,-27.34375,6.34766,1028.32031,-11.71875,2.92969,1029.29688,-9.27734,-73.73047,1020.50781
300586,-9.27734,5.37109,1017.08984,-6.83594,4.88281,1023.92578,3.41797,-67.38281,1020.99609
305587,-18.06641,8.78906,1017.08984,-3.41797,-2.92969,995.60547,-17.08984,-59.08203,1011.23047
310588,-24.41406,-1.46484,1020.99609,-10.74219,19.53125,1010.74219,2.92969,-63.47656,1021.48437
315586,-11.23047,3.90625,1029.29688,-2.92969,3.41797,1011.23047,-0.48828,-65.42969,1021.48437
320587,-12.20703,10.25391,1022.94922,-2.92969,0.48828,1012.20703,-19.04297,-70.80078,1031.73828
325647,-17.57813,19.53125,1023.92578,-7.32422,3.41797,1015.13672,-1.95312,-60.05859,1014.16016
330661,-11.23047,13.18359,1022.94922,-5.85937,-3.41797,1011.71875,-10.74219,-62.98828,1023.92578
