,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
145429,111,95,77,-191.40625,368.16406,916.50391,1.17557,-2.14504,0.40458,35.70000,21.45000,-9.00000,-213.86719,368.65234,921.87500,2.48855,0.66412,-0.45038,35.70000,21.45000,-9.00000,-203.12500,366.21094,931.15234,-3.03053,0.86260,-0.68702,35.70000,21.45000,-9.00000,
150456,105,93,83,-195.80078,350.58594,921.38672,0.55725,1.85496,0.20611,35.70000,21.45000,-9.00000,-204.58984,374.51172,917.96875,1.10687,-1.35878,2.58779,35.70000,21.45000,-9.00000,-195.80078,377.92969,917.96875,-1.02290,0.27481,-3.28244,35.70000,21.45000,-9.00000,
221826,109,108,82,-197.26562,368.65234,926.75781,-0.24427,-1.10687,2.80916,37.05000,19.20000,-10.05000,-193.84766,367.67578,918.45703,-4.29008,0.34351,-0.87786,37.05000,19.20000,-10.05000,-206.05469,354.49219,916.50391,0.77863,-2.12214,1.58015,37.05000,19.20000,-10.05000,
227195,114,115,83,-214.35547,378.90625,933.59375,1.87023,0.51145,1.04580,37.05000,19.20000,-10.05000,-198.24219,365.23437,923.33984,-1.08397,2.49618,-0.89313,37.05000,19.20000,-10.05000,-212.40234,360.83984,935.05859,-0.32061,3.59542,-1.33588,37.05000,19.20000,-10.05000,
232222,110,110,78,-204.58984,357.91016,920.89844,1.25191,-2.56489,0.35878,36.15000,20.85000,-7.05000,-199.21875,368.65234,924.80469,1.24427,1.30534,0.97710,36.15000,20.85000,-7.05000,-190.42969,355.46875,934.08203,-1.25191,2.83206,-1.15267,36.15000,20.85000,-7.05000,
237249,117,106,77,-201.17187,372.07031,909.17969,-0.48855,0.60305,-3.12214,36.15000,20.85000,-7.05000,-208.49609,363.76953,926.75781,1.59542,-1.35115,0.06107,36.15000,20.85000,-7.05000,-206.54297,372.07031,915.52734,1.51145,1.80153,-0.41221,36.15000,20.85000,-7.05000,
242241,115,103,84,-202.14844,371.09375,937.01172,-2.96947,0.30534,-2.12214,38.25000,21.15000,-10.20000,-205.07812,360.83984,926.26953,-0.73282,0.38168,-3.09924,38.25000,21.15000,-10.20000,-203.61328,376.95312,932.61719,1.83206,-1.44275,0.94656,38.25000,21.15000,-10.20000,
247265,107,124,77,-195.80078,373.04687,930.17578,-1.54198,0.97710,-2.02290,38.25000,21.15000,-10.20000,-201.66016,368.16406,937.50000,0.05344,1.64885,0.01527,38.25000,21.15000,-10.20000,-192.87109,371.58203,921.38672,0.01527,-1.06107,-0.80153,37.05000,18.75000,-8.25000,
252253,119,103,75,-207.03125,375.97656,933.59375,0.99237,-1.61832,0.87023,37.05000,18.75000,-8.25000,-195.80078,360.83984,923.33984,1.91603,-2.05344,1.74809,37.05000,18.75000,-8.25000,-212.40234,365.72266,928.22266,-2.23664,0.93893,-1.93893,37.05000,18.75000,-8.25000,
257243,107,100,76,-191.40625,363.76953,919.43359,-1.47328,1.61069,-1.52672,37.05000,18.75000,-8.25000,-190.91797,357.91016,918.94531,0.87786,-0.32061,1.00763,37.05000,18.75000,-8.25000,-200.68359,367.67578,937.50000,0.24427,-4.06870,1.89313,37.05000,18.75000,-8.25000,
262231,108,94,76,-195.31250,383.30078,935.05859,-1.45038,0.90840,-0.41985,37.05000,18.75000,-8.25000,-196.77734,367.67578,927.24609,-1.90076,0.53435,-0.26718,37.05000,18.75000,-8.25000,-216.30859,377.92969,928.71094,0.50382,-1.93130,0.91603,37.05000,18.75000,-8.25000,
267254,107,25,78,-200.68359,375.97656,922.36328,-1.04580,0.11450,-1.52672,37.05000,18.75000,-8.25000,-212.40234,371.09375,925.78125,-0.80153,1.60305,-4.46565,37.05000,18.75000,-8.25000,-200.68359,368.65234,916.99219,-0.58015,0.31298,-1.74809,36.90000,19.80000,-8.25000,
325688,111,108,77,-203.61328,364.74609,932.61719,0.12214,0.14504,-1.06870,35.85000,19.80000,-7.50000,-185.05859,359.86328,918.45703,-0.12977,-0.65649,2.51145,35.85000,19.80000,-7.50000,-197.26562,354.00391,937.01172,-2.70992,0.14504,-3.07634,35.85000,19.80000,-7.50000,
331063,111,105,83,-190.91797,375.00000,930.66406,-1.69466,-1.06107,-2.17557,36.15000,20.10000,-9.60000,-203.61328,368.16406,926.75781,2.10687,-2.53435,2.58779,36.15000,20.10000,-9.60000,-203.12500,364.25781,926.26953,1.87023,-2.69466,-1.80916,36.15000,20.10000,-9.60000,
336092,115,104,77,-200.68359,366.69922,921.38672,-1.05344,0.97710,-3.60305,36.15000,20.10000,-9.60000,-208.49609,384.27734,924.80469,-2.38168,-0.12214,-5.31298,36.15000,20.10000,-9.60000,-204.10156,370.60547,920.41016,1.17557,-2.83969,3.98473,36.75000,19.95000,-7.95000,
341114,110,102,77,-199.21875,357.91016,929.68750,-1.38931,3.48855,2.42748,36.75000,19.95000,-7.95000,-207.03125,371.09375,921.87500,-1.74046,-1.90076,-2.01527,36.75000,19.95000,-7.95000,-197.26562,369.14062,924.31641,-2.56489,2.58779,-2.92366,36.75000,19.95000,-7.95000,
346103,153,100,76,-188.96484,373.04687,921.87500,1.77863,-2.03053,1.37405,36.75000,19.95000,-7.95000,-198.24219,377.44141,934.57031,-0.96947,0.37405,-0.21374,36.75000,19.95000,-7.95000,-205.56641,368.65234,931.64062,-2.12214,1.22901,-1.67939,36.75000,20.70000,-9.30000,
351127,108,99,76,-200.68359,360.83984,927.24609,1.70229,-1.16794,1.90840,36.75000,20.70000,-9.30000,-195.31250,364.25781,931.64062,2.09924,-0.29008,0.47328,36.75000,20.70000,-9.30000,-194.33594,375.00000,936.03516,0.64122,1.53435,-1.64122,36.75000,20.70000,-9.30000,
356118,155,104,77,-206.54297,373.53516,920.41016,-2.09160,0.59542,-3.38931,36.75000,20.70000,-9.30000,-200.68359,372.55859,918.94531,2.17557,-0.65649,3.93893,36.75000,20.70000,-9.30000,-208.00781,383.30078,929.68750,1.13740,-0.44275,0.28244,36.75000,20.70000,-9.30000,
361103,109,98,75,-196.28906,368.65234,927.24609,-1.74046,-0.86260,1.87023,36.75000,20.70000,-9.30000,-188.47656,361.81641,935.54687,-2.33588,1.76336,-1.54198,36.75000,20.70000,-9.30000,-186.52344,377.44141,916.99219,0.44275,1.50382,-3.11450,36.75000,20.70000,-9.30000,
366089,103,96,88,-206.05469,368.16406,927.73437,-0.35115,-0.01527,-2.00763,36.75000,20.70000,-9.30000,-193.35937,371.09375,929.68750,-0.13740,-1.20611,1.62595,36.75000,20.70000,-9.30000,-197.75391,376.46484,941.40625,-2.76336,-0.25954,-1.49618,36.45000,20.70000,-8.25000,
371108,108,95,77,-199.70703,368.16406,928.22266,2.08397,-2.45038,0.80916,36.45000,20.70000,-8.25000,-199.70703,371.09375,934.08203,-1.11450,-2.00000,-0.47328,36.45000,20.70000,-8.25000,-200.19531,370.11719,916.99219,1.91603,1.45038,0.85496,36.45000,20.70000,-8.25000,
429608,110,107,82,-197.75391,359.86328,921.87500,0.06870,-1.31298,-0.42748,36.00000,20.25000,-7.95000,-200.68359,378.90625,924.80469,1.68702,-1.44275,-0.87786,36.00000,20.25000,-7.95000,-203.12500,360.35156,924.31641,0.85496,-1.53435,0.18321,36.00000,20.25000,-7.95000,
434966,107,107,77,-212.89062,360.35156,929.68750,-0.38168,0.49618,0.81679,36.00000,20.25000,-7.95000,-195.80078,366.21094,925.78125,-2.47328,0.58015,-1.35878,36.00000,20.25000,-7.95000,-198.73047,360.35156,923.33984,1.74046,-2.22901,-0.74046,36.60000,19.80000,-9.60000,
439979,120,106,81,-187.98828,379.39453,923.33984,0.09924,-3.00000,-0.75573,36.60000,19.80000,-9.60000,-203.61328,373.04687,941.40625,-2.22901,0.08397,2.52672,36.60000,19.80000,-9.60000,-205.56641,367.18750,928.71094,-1.06870,1.18321,-1.16031,36.60000,19.80000,-9.60000,
444995,110,85,75,-209.96094,366.21094,918.45703,0.68702,0.25954,0.72519,36.60000,19.80000,-9.60000,-185.05859,369.62891,927.24609,2.72519,-1.70229,0.66412,36.60000,19.80000,-9.60000,-189.94141,377.44141,930.17578,-1.51908,-0.74809,-2.04580,36.75000,20.70000,-8.25000,
449991,107,99,78,-201.66016,376.95312,915.52734,-1.38168,2.71756,-2.83969,36.75000,20.70000,-8.25000,-202.63672,362.30469,923.33984,-0.41985,-1.25191,1.54962,36.75000,20.70000,-8.25000,-200.19531,359.86328,926.75781,0.00763,-1.32061,2.20611,36.75000,20.70000,-8.25000,
455019,110,103,74,-209.47266,361.81641,934.08203,-1.60305,0.46565,-0.49618,36.75000,20.70000,-8.25000,-199.70703,364.25781,920.89844,-0.45802,-2.16031,2.16031,36.75000,20.70000,-8.25000,-199.21875,364.74609,923.33984,1.12977,-0.89313,1.59542,34.95000,20.25000,-7.65000,
460015,106,100,84,-206.05469,359.86328,912.59766,0.61832,-1.32824,-0.90840,34.95000,20.25000,-7.65000,-204.10156,369.14062,932.12891,-2.71756,2.58015,-0.90840,34.95000,20.25000,-7.65000,-195.80078,369.14062,924.80469,1.26718,-1.99237,1.39695,34.95000,20.25000,-7.65000,
465011,107,95,77,-200.68359,368.16406,922.85156,0.84733,-0.84733,2.11450,34.95000,20.25000,-7.65000,-195.31250,368.16406,923.33984,-1.67176,0.86260,-0.77099,34.95000,20.25000,-7.65000,-198.24219,384.76562,927.24609,-0.75573,0.80916,-2.03817,34.95000,20.25000,-7.65000,
470008,108,93,79,-199.21875,373.53516,931.15234,1.35878,-0.91603,2.52672,34.95000,20.25000,-7.65000,-191.89453,376.95312,928.22266,1.73282,0.72519,0.03817,34.95000,20.25000,-7.65000,-197.75391,375.97656,931.15234,-3.65649,0.99237,-1.16794,34.95000,20.25000,-7.65000,
475044,106,94,77,-207.51953,367.18750,924.80469,-1.60305,-0.60305,-1.37405,34.95000,20.25000,-7.65000,-204.10156,370.60547,934.57031,0.96183,-2.54962,2.61069,34.95000,20.25000,-7.65000,-211.42578,369.62891,920.89844,2.63359,-0.74809,2.97710,35.85000,18.60000,-8.85000,
534584,109,104,78,-202.14844,364.74609,916.50391,1.39695,-0.63359,3.16031,35.25000,19.20000,-7.95000,-208.00781,368.16406,921.38672,-1.21374,3.35115,-2.41985,37.05000,19.50000,-8.70000,-203.61328,369.14062,929.68750,0.30534,0.20611,1.64885,37.05000,19.50000,-8.70000,
539939,110,108,118,-201.66016,360.35156,920.89844,1.32824,0.01527,0.90840,37.05000,19.50000,-8.70000,-203.61328,358.88672,924.80469,0.32061,-1.36641,-1.45038,37.05000,19.50000,-8.70000,-203.12500,376.46484,924.80469,-1.80916,1.51908,0.43511,37.05000,19.50000,-8.70000,
544960,108,101,88,-204.58984,361.81641,929.19922,0.35115,-1.21374,2.03817,37.05000,19.50000,-8.70000,-204.10156,374.51172,933.10547,-0.47328,-2.88550,1.71756,36.00000,19.50000,-6.90000,-195.31250,365.72266,926.26953,0.62595,-0.79389,-0.00763,36.00000,19.50000,-6.90000,
549971,109,104,76,-200.19531,367.18750,929.68750,0.25191,0.39695,1.29771,36.00000,19.50000,-6.90000,-201.17187,366.69922,931.15234,3.03053,0.30534,0.80153,36.00000,19.50000,-6.90000,-194.33594,358.88672,932.12891,1.57252,-0.47328,-0.23664,36.00000,19.50000,-6.90000,
554957,108,97,80,-198.24219,374.02344,918.94531,-0.10687,0.03817,-1.14504,36.00000,19.50000,-6.90000,-200.19531,379.88281,922.36328,-1.88550,0.61069,-0.91603,36.15000,19.80000,-8.10000,-195.31250,361.32812,920.41016,0.34351,-1.17557,2.94656,36.15000,19.80000,-8.10000,
559980,105,98,79,-193.84766,360.35156,929.68750,0.47328,-2.29008,0.38931,36.15000,19.80000,-8.10000,-211.42578,362.30469,927.24609,-0.44275,-0.06107,-2.26718,36.15000,19.80000,-8.10000,-207.51953,372.55859,934.57031,-1.19084,1.53435,-2.96947,36.15000,19.80000,-8.10000,
564962,101,99,77,-205.56641,367.67578,926.26953,-0.42748,-0.68702,1.18321,36.15000,19.80000,-8.10000,-187.98828,371.58203,925.29297,1.14504,-1.93893,1.25191,36.15000,19.80000,-8.10000,-196.77734,358.88672,914.55078,0.00763,0.61069,2.98473,36.15000,19.80000,-8.10000,
569941,118,100,76,-199.70703,368.65234,926.26953,-1.44275,0.96947,-3.30534,36.15000,19.80000,-8.10000,-219.23828,357.42187,924.80469,-1.85496,2.93130,-2.21374,36.15000,19.80000,-8.10000,-188.96484,362.30469,929.19922,1.78626,0.11450,-1.21374,36.15000,19.80000,-8.10000,
574925,108,100,79,-204.10156,371.09375,925.78125,0.75573,-2.27481,3.11450,36.15000,19.80000,-8.10000,-196.77734,361.81641,931.15234,-0.97710,0.52672,-2.85496,35.85000,20.55000,-7.50000,-208.98437,358.88672,925.29297,-1.16794,2.31298,-0.54198,35.85000,20.55000,-7.50000,
579946,108,93,77,-184.08203,359.86328,928.22266,0.11450,-2.38168,1.36641,35.85000,20.55000,-7.50000,-194.82422,378.41797,923.33984,-0.45038,0.53435,-1.75573,35.85000,20.55000,-7.50000,-187.01172,368.65234,933.10547,-0.98473,1.31298,0.99237,35.85000,20.55000,-7.50000,
646243,108,107,78,-207.51953,362.79297,928.22266,1.83206,0.19847,1.65649,36.45000,22.50000,-7.95000,-209.47266,370.60547,924.80469,-1.61069,1.56489,-2.42748,36.45000,22.50000,-7.95000,-194.82422,359.37500,926.75781,1.45038,-1.10687,3.82443,36.45000,22.50000,-7.95000,
651614,109,105,80,-193.84766,361.32812,918.94531,0.97710,-1.69466,-0.98473,36.45000,22.50000,-7.95000,-199.70703,375.97656,914.55078,-1.64122,2.61832,-0.03817,36.45000,22.50000,-7.95000,-200.68359,376.46484,924.31641,-1.46565,1.88550,-0.21374,36.90000,19.05000,-9.15000,
656634,110,108,77,-200.68359,367.18750,926.26953,1.48092,-0.99237,1.48092,36.90000,19.05000,-9.15000,-194.82422,372.07031,924.31641,2.03817,-2.67176,-0.38168,36.90000,19.05000,-9.15000,-196.77734,371.09375,915.52734,-1.19084,0.87023,0.09160,36.90000,19.05000,-9.15000,
661661,109,104,139,-202.63672,359.86328,927.24609,0.32824,-0.38168,2.04580,36.90000,19.05000,-9.15000,-199.21875,364.25781,931.64062,2.35878,-0.88550,0.02290,36.90000,19.05000,-9.15000,-198.24219,363.76953,922.85156,1.03817,-1.97710,0.94656,36.90000,19.05000,-9.15000,
666653,107,111,77,-192.38281,367.18750,918.45703,-3.18321,0.37405,-0.61069,36.90000,19.05000,-9.15000,-207.51953,355.46875,929.68750,-0.60305,-3.33588,1.64122,36.90000,19.05000,-9.15000,-206.05469,360.83984,929.19922,0.43511,1.66412,2.40458,36.90000,19.05000,-9.15000,
671673,112,85,81,-202.63672,363.76953,929.19922,-1.35878,-1.84733,1.25954,36.90000,19.05000,-9.15000,-207.03125,370.11719,924.31641,-2.72519,1.00000,-0.80916,36.90000,19.05000,-9.15000,-197.26562,372.07031,936.03516,0.01527,-3.07634,0.36641,36.90000,20.55000,-8.10000,
676660,117,91,75,-198.24219,376.95312,928.22266,0.16031,-1.26718,-1.25954,36.90000,20.55000,-8.10000,-205.07812,365.72266,927.24609,-0.74809,0.72519,-0.29771,36.90000,20.55000,-8.10000,-195.31250,362.79297,928.71094,-1.42748,0.35115,1.76336,36.90000,20.55000,-8.10000,
681651,107,139,79,-190.42969,371.09375,927.73437,0.12214,1.76336,-4.03817,36.90000,20.55000,-8.10000,-196.28906,362.79297,927.24609,0.56489,-0.64122,4.05344,36.90000,20.55000,-8.10000,-188.47656,358.88672,929.19922,0.03817,-0.23664,0.64122,36.75000,20.70000,-9.30000,
686641,109,97,76,-202.14844,357.42187,926.75781,-0.71756,1.21374,1.87786,36.75000,20.70000,-9.30000,-204.58984,370.11719,926.26953,-2.81679,3.04580,0.45802,36.75000,20.70000,-9.30000,-193.84766,365.23437,932.61719,0.08397,-2.16031,-1.02290,36.75000,20.70000,-9.30000,
691666,108,92,83,-198.73047,373.53516,926.26953,-2.45802,3.54962,-3.16031,36.75000,20.70000,-9.30000,-191.89453,370.11719,928.71094,-1.35878,0.58779,-1.01527,36.15000,19.05000,-9.30000,-192.38281,354.98047,929.68750,-0.71756,0.81679,-1.56489,36.15000,19.05000,-7.80000,
751626,115,105,84,-202.14844,375.00000,929.68750,-2.06107,0.14504,-1.12214,36.75000,21.00000,-9.00000,-199.21875,372.55859,928.71094,1.05344,-0.94656,-0.31298,36.75000,20.25000,-8.25000,-206.54297,368.16406,925.29297,-1.38168,0.58015,-1.92366,36.75000,20.25000,-8.25000,
756975,109,101,84,-195.80078,369.62891,925.29297,-2.18321,2.70229,-1.32061,36.75000,20.25000,-8.25000,-187.50000,366.21094,923.33984,-0.50382,2.19084,-2.67176,36.75000,20.25000,-8.25000,-187.50000,370.60547,926.26953,0.30534,0.55725,1.54198,36.75000,20.25000,-8.25000,
761987,110,99,79,-195.80078,354.00391,927.73437,-1.81679,-0.39695,-0.93893,35.55000,20.85000,-8.55000,-191.89453,375.00000,922.36328,-0.01527,0.47328,0.62595,35.55000,20.85000,-8.55000,-203.12500,374.51172,928.71094,0.82443,-3.05344,1.77863,35.55000,20.85000,-8.55000,
767017,108,99,80,-186.03516,361.81641,927.24609,-0.00763,1.22137,2.15267,35.55000,20.85000,-8.55000,-190.42969,371.09375,939.45312,-1.31298,2.55725,-1.18321,35.55000,20.85000,-8.55000,-192.87109,364.25781,944.33594,-3.88550,-0.36641,-2.54962,35.55000,20.85000,-8.55000,
772016,109,83,77,-210.93750,365.72266,936.52344,2.53435,0.90840,0.56489,35.55000,20.85000,-8.55000,-202.63672,365.72266,924.31641,1.67939,-2.41985,0.92366,35.55000,20.85000,-8.55000,-196.77734,369.62891,924.31641,-3.61069,-1.41985,-0.38931,35.55000,20.85000,-8.55000,
777046,105,100,78,-212.40234,356.93359,929.68750,3.03053,-0.30534,3.88550,35.55000,20.85000,-8.55000,-198.73047,364.74609,940.91797,1.49618,-2.89313,2.82443,35.55000,20.85000,-8.55000,-196.77734,375.00000,928.71094,1.20611,-1.55725,1.41985,35.55000,20.85000,-8.55000,
782043,109,77,83,-204.10156,361.81641,925.29297,-0.31298,0.53435,-2.35878,36.45000,20.25000,-8.55000,-200.68359,363.28125,929.19922,-2.45038,1.25191,-1.90076,36.45000,20.25000,-8.70000,-193.35937,373.53516,922.36328,1.64122,-1.57252,2.14504,36.45000,20.25000,-8.70000,
787021,107,100,77,-207.51953,366.69922,926.26953,1.03053,-2.12977,0.09924,36.45000,20.25000,-8.70000,-198.73047,369.14062,931.64062,-1.22901,1.11450,-0.39695,36.45000,20.25000,-8.70000,-206.54297,374.02344,928.71094,-1.58015,1.44275,-1.29771,36.45000,20.25000,-8.70000,
792016,107,93,83,-195.80078,367.67578,925.78125,2.77099,-0.34351,-0.53435,36.00000,19.95000,-7.65000,-190.91797,370.60547,925.78125,-0.53435,-0.25191,1.99237,36.00000,19.95000,-7.65000,-204.10156,366.69922,930.66406,-2.28244,-0.09160,-0.41985,36.00000,19.95000,-7.65000,
797046,108,93,77,-196.77734,369.62891,929.19922,-0.99237,0.20611,-0.63359,36.00000,19.95000,-7.65000,-199.70703,368.65234,930.66406,0.30534,-2.63359,0.24427,36.00000,19.95000,-7.65000,-205.07812,358.39844,939.94141,0.92366,-2.46565,0.41221,36.00000,19.95000,-7.65000,
855722,107,102,77,-189.45312,359.37500,932.61719,-0.58779,0.90076,-2.24427,36.00000,20.70000,-7.20000,-208.00781,368.16406,936.03516,1.92366,-0.79389,-0.72519,36.00000,20.70000,-7.20000,-202.14844,373.53516,929.19922,1.94656,-0.81679,1.90840,36.00000,20.70000,-7.20000,
861086,110,102,78,-198.73047,369.62891,933.10547,1.10687,-1.57252,0.00000,37.20000,20.85000,-8.85000,-192.38281,367.67578,927.73437,-1.35115,-0.22901,-1.35115,37.20000,20.85000,-8.85000,-196.77734,373.04687,933.59375,-0.99237,2.11450,-0.17557,37.20000,20.85000,-8.85000,
866106,107,100,82,-210.44922,365.72266,931.15234,0.16031,0.27481,1.70992,37.20000,20.85000,-8.85000,-190.42969,360.83984,917.96875,2.51908,-1.38931,2.90076,37.20000,20.85000,-8.85000,-204.10156,375.48828,918.94531,-2.18321,1.99237,-4.07634,37.20000,20.85000,-8.85000,
871124,107,101,80,-211.42578,376.46484,924.31641,1.45802,-1.46565,-1.02290,37.20000,20.85000,-8.85000,-204.58984,369.62891,933.59375,-0.57252,-1.35115,0.90076,37.20000,20.85000,-8.85000,-194.33594,370.11719,917.48047,1.90076,-1.61069,-1.38168,37.20000,20.85000,-8.85000,
876113,108,97,77,-184.08203,370.11719,920.89844,-2.90076,2.18321,-1.74809,37.20000,20.85000,-8.85000,-207.03125,365.72266,925.29297,-1.51145,2.09160,-1.90840,37.20000,20.85000,-8.85000,-198.24219,374.02344,924.80469,0.44275,-1.16031,2.70992,37.20000,20.85000,-8.85000,
