IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-794.43359,126.95313,-566.40625,-0.173333884,-0.036771818,0.075675382,-14.1,31.35,13.5,-166.99219,-62.01172,1022.46094,-0.038903564,-0.2732573,0.255004646,75,-1.5,87.9,-917.48047,3.41797,393.55469,-0.396362877,-0.112980049,-0.072211252,60.9,15.9,9.75
-796.38672,140.625,-562.5,-0.143489976,-0.06421747,0.067415088,-14.1,31.35,13.5,-155.76172,-84.96094,993.16406,-0.074076486,-0.187989239,0.283915851,75.6,-0.15,89.55,-918.45703,2.92969,397.46094,-0.42500757,-0.220764254,-0.082603292,60.6,15.45,10.8
-820.80078,157.71484,-559.57031,-0.232888183,0.03144263,0.094993908,-14.55,30.15,13.05,-131.83594,-83.00781,996.09375,-0.093794867,-0.222762656,0.28484838,75.9,-0.45,89.55,-896.97266,-9.27734,400.87891,-0.395963196,-0.15601376,-0.05302607,59.1,16.2,10.5
-840.33203,169.92187,-556.64062,-0.201712065,-0.053692262,0.065549854,-14.1,30.3,14.25,-126.46484,-124.02344,1001.95312,-0.054091942,-0.252206709,0.298837718,74.1,0.15,90.6,-890.13672,-25.39063,414.55078,-0.374246588,-0.204909683,-0.072477764,60.9,16.2,10.5
-861.32812,166.99219,-542.96875,-0.178263392,-0.088332335,0.063284766,-16.95,30.3,14.25,-131.83594,-132.32422,994.62891,-0.081271082,-0.18745639,0.292176145,75.15,-0.9,88.8,-914.0625,-31.73828,399.90234,-0.367851527,-0.171335307,-0.026912628,60.9,16.2,10.5
-864.25781,179.6875,-531.25,-0.221963295,-0.073410468,0.083402827,-15,30.45,14.1,-111.81641,-152.83203,988.76953,-0.121506855,-0.238750395,0.261799388,75.15,-2.4,88.05,-907.22656,-24.90234,374.51172,-0.403823985,-0.166272631,-0.05342575,59.85,17.4,11.25
-859.375,173.33984,-532.22656,-0.23488676,-0.071411892,0.075808551,-15,30.45,14.1,-115.23438,-158.20312,979.98047,-0.099124055,-0.21503521,0.226493122,74.7,0,87.9,-891.11328,-68.35938,395.01953,-0.323085752,-0.141225062,-0.023048993,59.85,17.4,11.25
-840.33203,164.55078,-524.41406,-0.19265241,-0.146820762,0.130033662,-14.85,30.6,15.3,-115.72266,-134.76562,973.14453,-0.04956194,-0.087266463,0.244745776,74.7,0,87.9,-929.6875,-74.70703,403.80859,-0.371981674,-0.071811572,-0.031176118,62.85,16.35,9.9
-837.89062,165.03906,-522.94922,-0.226626291,-0.102055161,0.057289385,-13.8,31.05,16.05,-123.53516,-157.22656,981.93359,-0.033840712,-0.006261892,0.188255751,74.7,0,87.9,-916.99219,-97.16797,404.78516,-0.334410495,-0.110581967,-0.024781057,59.7,16.8,10.35
-837.40234,150.39062,-503.90625,-0.146820762,-0.037571179,0.095393588,-13.2,33,13.35,-118.65234,-122.55859,1000.48828,0.014655355,0.007327765,0.140559044,75,-0.75,89.7,-904.29687,-98.63281,380.37109,-0.373313884,-0.021450271,-0.029710565,59.85,15.45,10.05
-839.84375,173.82812,-502.44141,-0.11724354,-0.112580369,0.074609509,-13.2,33,13.35,-126.46484,-133.30078,1014.16016,0.035039754,-0.009192998,0.147753466,75,-1.5,88.35,-927.73437,-111.81641,401.85547,-0.327882091,0.004263316,-0.033307863,61.95,15.15,11.85
-835.9375,160.64453,-508.78906,-0.102721353,-0.035572777,0.026779459,-16.05,30.45,14.1,-120.11719,-137.20703,983.39844,0.051827029,-0.030776438,0.113646242,74.7,-0.75,88.95,-910.64453,-125.48828,390.625,-0.313226736,-0.005329188,-0.023582016,60.3,15.3,10.65
-835.44922,183.59375,-511.23047,-0.086067421,-0.007460933,0.021316928,-15.3,31.95,15.15,-111.32813,-129.39453,1012.20703,0.019585038,0.001598722,0.097925014,74.7,-0.75,88.95,-895.01953,-137.20703,377.92969,-0.256203688,0.053159238,0.002398082,60.9,16.65,11.55
-842.77344,159.66797,-537.59766,0.003064275,0.00519602,0.066615552,-15.45,31.35,15.3,-105.95703,-158.69141,990.23437,-0.02624661,-0.003463955,0.151883613,75.3,0.75,87.9,-904.29687,-130.37109,395.99609,-0.194251131,0.031176118,-0.03837054,60.9,16.65,11.55
-852.53906,180.17578,-531.25,0.010525208,-0.008260294,0.091130098,-15.45,32.1,15.6,-138.18359,-190.42969,974.12109,0.012257273,0.00985919,0.109649263,75.15,-0.15,90.3,-913.57422,-127.44141,384.27734,-0.15041806,0.046764177,-0.015321547,60.9,16.65,11.55
-854.98047,165.52734,-530.27344,0.052493046,-0.014122506,0.045431793,-15.45,32.1,15.6,-125.48828,-171.875,966.30859,-0.014389018,0.017186781,0.079405849,75.15,-0.15,90.3,-895.99609,-138.67187,374.02344,-0.083136315,0.106185308,0.02198312,60.3,16.35,10.35
-836.91406,163.57422,-551.26953,0.036904987,0.053958599,0.015588059,-15.45,31.05,13.95,-133.78906,-188.47656,989.74609,0.002531426,0.060220491,0.040768797,75.6,-1.95,88.8,-917.48047,-134.76562,379.39453,-0.034773416,0.127235899,-0.022516144,60.3,17.1,10.95
-855.46875,171.875,-544.92187,0.04183467,0.007860614,0.077540615,-16.05,30.9,15.15,-150.39062,-182.12891,971.67969,0.031975479,0.052626389,0.025580418,74.1,0.15,89.1,-913.57422,-125,378.90625,-0.014255675,0.154281695,-0.049961795,61.05,15.6,10.35
-835.44922,185.05859,-562.5,0.115777987,0.032241991,0.074342998,-14.25,30.45,14.7,-147.46094,-173.33984,993.16406,0.010392039,0.030509926,0.017852973,74.1,-0.45,89.1,-919.92187,-127.92969,387.20703,-0.007061253,0.176398159,0.02198312,60.15,15.9,11.55
-823.24219,161.62109,-552.24609,0.036238969,0.04183467,-0.019585038,-14.25,30.45,14.7,-151.85547,-176.26953,999.51172,-0.004929508,0.072477764,-0.005462531,74.1,-0.45,89.1,-934.57031,-145.01953,379.39453,0.008260294,0.151750444,0.046497666,58.35,15.9,12.3
-832.51953,163.57422,-564.94141,0.154548207,0.069946339,0.061686044,-13.95,30.9,14.4,-163.08594,-174.80469,998.04687,-0.006794741,0.076474743,-0.076874423,74.25,0.3,88.65,-942.87109,-122.07031,382.8125,0.101655481,0.161742803,0.037704522,61.8,14.85,10.95
