IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-834.96094,120.11719,-553.22266,-0.054891303,0.023715184810248553,0.068880466,-14.1,28.8,12.15,-455.07812,29.78516,913.57422,0.034107224242473186,0.067415088,0.034640073,85.65,4.95,76.35,-933.10547,76.66016,361.32812,0.046231154,-0.090730418,0.011457912006417574,60.3,23.85,10.65
-831.05469,121.09375,-544.43359,-0.095526757,0.024514545607661954,0.017719804,-14.1,28.8,12.15,-458.98437,58.59375,912.59766,0.016653931722529894,0.070612531,0.001732065,87.15,4.2,76.65,-944.33594,64.45313,360.83984,0.030909606519894377,-0.051960197,0.054624791,60.15,25.5,10.5
-835.44922,113.76953,-553.71094,-0.107251181,0.042367519,0.03104295,-16.5,29.55,13.95,-449.21875,30.76172,918.45703,0.017719804,0.054624791,-0.023448673,87.15,4.2,76.65,-934.08203,80.56641,359.375,0.047163858,-0.067814768,0.055823833,60.15,25.5,10.5
-837.40234,116.21094,-559.08203,-0.095793269,0.050094964,0.015321547371557422,-16.5,29.55,13.95,-444.82422,55.66406,922.85156,0.034506905,0.010658551,0.054891303,85.35,3.45,76.35,-945.3125,70.80078,368.65234,0.037171498810199634,-0.013989338,0.035705946,59.25,24.9,9.6
-838.37891,113.76953,-554.19922,-0.04183467,-0.009459335,0.079405849,-16.5,29.55,13.95,-440.42969,63.47656,921.38672,0.053558918755949994,0.044499264,-0.003730467,85.35,3.45,76.35,-959.47266,62.5,355.95703,-0.012790122,-0.022649312,0.017186780743163762,59.25,24.9,9.6
-823.24219,129.39453,-574.70703,-0.055823833,0.051427174,0.012523785,-16.5,29.55,13.95,-463.86719,47.36328,921.38672,0.022516143614128445,0.010258871,-0.043833071,85.95,5.4,74.25,-961.91406,89.35547,355.95703,0.03877022,-0.026646291,0.017719804,59.4,24.3,9.75
-836.42578,118.16406,-556.64062,-0.048496242,0.026512948,0.007327765,-13.35,27.3,13.5,-470.21484,69.33594,930.17578,-0.001332384,0.041035309,-0.022782481,85.95,5.4,74.25,-957.03125,84.96094,369.62891,0.013989337553510148,-0.032375159,0.013189976756096747,59.4,24.3,9.75
-842.77344,123.04688,-572.75391,-0.114845283,0.015321547371557422,0.001598722,-13.35,27.3,13.5,-455.56641,66.89453,924.80469,0.000666192,0.041035309,-0.046097985,84.9,5.4,76.35,-960.44922,78.61328,348.63281,0.029977077100553806,-0.04263403,0.019185357269622467,60,24.6,10.95
-833.00781,125.97656,-553.22266,-0.110182287,0.09046408,-0.042500687,-14.1,30.6,13.95,-444.33594,78.61328,924.80469,0.019052014,0.033574201,0.027045971,84.9,5.4,76.35,-970.70312,80.07813,379.88281,0.061286364,-0.025980099,0.000666192,60,24.6,10.95
-837.89062,115.72266,-572.26562,-0.071545235,-0.01505521,-0.014655355,-14.1,30.6,13.95,-442.87109,62.5,908.69141,-0.020917247,0.031309286918601076,-0.040635454,85.5,4.8,76.5,-969.23828,73.73047,356.44531,0.069546658,-0.03797086,-0.004529828,59.85,23.7,9.45
