Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
290629,3.90625,-1.46484,1020.50781,916.50391,269.04297,-295.89844,78.61328,-4.39453,1008.78906
295629,2.92969,-3.90625,1011.71875,906.73828,265.13672,-291.01562,71.28906,-9.27734,1002.92969
300626,-1.95312,-9.76562,1025.39063,912.59766,279.78516,-290.03906,77.14844,-15.625,1014.16016
305631,3.41797,-5.85937,1023.92578,933.59375,270.01953,-292.96875,71.77734,-21.48438,1021.48437
310627,0.48828,3.41797,1023.92578,919.43359,269.53125,-294.92187,61.03516,-11.23047,1011.23047
315628,11.23047,4.39453,1020.50781,918.45703,260.74219,-287.10937,60.54688,-17.08984,1019.53125
320628,-4.39453,9.76562,1018.06641,908.20312,259.27734,-276.36719,67.87109,-8.78906,1004.39453
325689,-3.41797,-5.37109,1021.97266,910.15625,256.34766,-269.04297,64.45313,-14.16016,1022.94922
330694,-6.34766,2.44141,1016.60156,911.13281,270.99609,-261.71875,66.40625,-15.13672,1017.08984
335698,-7.32422,3.41797,1020.50781,925.78125,268.06641,-268.55469,74.21875,-25.39063,1012.69531
340699,-3.41797,-5.85937,1007.32422,921.875,252.44141,-265.13672,77.14844,-20.50781,1020.01953
345698,-7.8125,-2.92969,1031.25,921.875,272.94922,-264.16016,85.44922,-19.53125,1004.39453
350699,-11.23047,-7.32422,1012.20703,925.29297,270.01953,-260.74219,62.01172,-10.25391,1024.41406
355699,-0.97656,-0.48828,1022.94922,907.71484,263.67187,-268.06641,75.19531,-18.06641,1013.18359
360698,-11.71875,12.69531,1020.99609,928.71094,278.32031,-266.60156,74.21875,-6.34766,1024.41406
365699,-11.71875,8.30078,1007.32422,912.10937,273.92578,-263.18359,70.3125,-17.57813,1005.85937
370699,4.88281,2.44141,1020.99609,916.01562,282.71484,-276.85547,63.47656,-12.69531,1015.13672
375699,0.0,0.97656,1017.57812,904.78516,282.71484,-260.74219,70.3125,-6.83594,1014.16016
380695,4.39453,3.90625,1020.50781,900.87891,286.13281,-274.90234,76.17188,-5.85937,1021.97266
385697,-6.83594,13.67187,1013.67187,894.53125,280.76172,-271.48437,78.125,-16.11328,1014.16016
390699,6.34766,-8.78906,1024.41406,907.71484,283.69141,-263.67187,63.47656,-8.78906,1020.99609
395699,-7.32422,8.30078,1028.32031,898.92578,286.13281,-280.27344,53.71094,-17.08984,1008.78906
400701,9.27734,11.71875,1023.92578,907.22656,282.71484,-275.87891,67.38281,-20.99609,1005.85937
405705,7.32422,3.41797,1019.04297,900.39062,284.17969,-278.32031,85.44922,-20.01953,1028.80859
410708,4.88281,-11.71875,1030.76172,903.80859,285.64453,-289.0625,66.89453,-9.27734,1014.16016
415709,8.30078,5.85937,1015.625,907.22656,280.76172,-277.83203,73.73047,-21.97266,1005.85937
420709,-16.60156,-9.27734,1017.08984,905.76172,291.50391,-279.29687,87.40234,-13.18359,1021.97266
425711,-0.48828,5.85937,1019.53125,891.60156,283.69141,-287.59766,72.75391,-33.20313,1007.32422
430717,0.97656,0.97656,1017.57812,904.29687,286.13281,-293.94531,81.05469,-9.76562,1015.625
435719,1.95312,5.37109,1020.01953,912.59766,276.36719,-289.55078,89.35547,-12.20703,1019.53125
440725,-6.83594,5.85937,1023.4375,918.94531,274.90234,-289.0625,84.96094,-7.8125,1006.83594
445732,-7.8125,2.92969,1014.64844,895.50781,289.55078,-288.08594,90.33203,-15.625,1019.04297
450735,-19.04297,7.8125,1020.01953,903.32031,278.32031,-307.12891,67.87109,-14.64844,1007.8125
